scenario_id,route_id,lot_id,dong,path_order,route_lat,route_lon,approval,drone_t,time_saving,co2_saving,hub_rank
S001,R000064,206-2-000009,금곡동,2,37.35108,127.10247,False,0.39,24.61,1107.5,2
S001,R000065,206-2-000009,구미1동,1,37.35086,127.10686,False,0.24,24.76,1114.2,2
S001,R000065,206-2-000009,구미1동,2,37.34934,127.10494,False,0.24,24.76,1114.2,2
S001,R000066,206-2-000009,금곡동,1,37.35086,127.10686,False,0.51,24.49,1102.0,2
S001,R000066,206-2-000009,금곡동,2,37.35432,127.1106,False,0.51,24.49,1102.0,2
S001,R000067,206-2-000009,정자동,1,37.35086,127.10686,False,0.78,24.22,1089.9,2
S001,R000067,206-2-000009,정자동,2,37.35715,127.11083,False,0.78,24.22,1089.9,2
S001,R000068,206-2-000009,금곡동,1,37.35086,127.10686,False,0.9,24.1,1084.5,2
S001,R000068,206-2-000009,금곡동,2,37.34892,127.09705,False,0.9,24.1,1084.5,2
S001,R000069,206-2-000009,금곡동,1,37.35086,127.10686,False,1.08,23.92,1076.4,2
S001,R000069,206-2-000009,금곡동,2,37.35739,127.09776,False,1.08,23.92,1076.4,2
S001,R000070,206-2-000009,정자3동,1,37.35086,127.10686,False,1.02,23.98,1079.1,2
S001,R000070,206-2-000009,정자3동,2,37.35649,127.11602,False,1.02,23.98,1079.1,2
S001,R000071,206-2-000009,금곡동,1,37.35086,127.10686,False,0.21,24.79,1115.5,2
S001,R000071,206-2-000009,금곡동,2,37.35216,127.10518,False,0.21,24.79,1115.5,2
S001,R000072,206-2-000009,구미1동,1,37.35086,127.10686,False,1.02,23.98,1079.1,2
S001,R000072,206-2-000009,구미1동,2,37.35192,127.11825,False,1.02,23.98,1079.1,2
S001,R000073,206-2-000009,금곡동,1,37.35086,127.10686,False,0.09,24.91,1121.0,2
S001,R000073,206-2-000009,금곡동,2,37.35042,127.10765,False,0.09,24.91,1121.0,2
S001,R000074,206-2-000009,금곡동,1,37.35086,127.10686,False,0.77,24.23,1090.3,2
S001,R000074,206-2-000009,금곡동,2,37.34717,127.09952,False,0.77,24.23,1090.3,2
S001,R000075,206-2-000009,금곡동,1,37.35086,127.10686,False,0.79,24.21,1089.5,2
S001,R000075,206-2-000009,금곡동,2,37.35565,127.10023,False,0.79,24.21,1089.5,2
S001,R000076,206-2-000009,구미동,1,37.35086,127.10686,False,0.89,24.11,1085.0,2
S001,R000076,206-2-000009,구미동,2,37.34411,127.11235,False,0.89,24.11,1085.0,2
S001,R000077,206-2-000009,구미1동,1,37.35086,127.10686,False,0.81,24.19,1088.5,2
S001,R000077,206-2-000009,구미1동,2,37.34801,127.1153,False,0.81,24.19,1088.5,2
S001,R000078,206-2-000009,구미1동,1,37.35086,127.10686,False,0.37,24.63,1108.3,2
S001,R000078,206-2-000009,구미1동,2,37.34759,127.10741,False,0.37,24.63,1108.3,2
S001,R000079,206-2-000009,구미1동,1,37.35086,127.10686,False,0.67,24.33,1094.8,2
S001,R000079,206-2-000009,구미1동,2,37.34693,127.11259,False,0.67,24.33,1094.8,2
S001,R000080,206-2-000009,금곡동,1,37.35086,127.10686,False,0.28,24.72,1112.4,2
S001,R000080,206-2-000009,금곡동,2,37.35324,127.10789,False,0.28,24.72,1112.4,2
S001,R000081,206-2-000009,구미1동,1,37.35086,127.10686,False,0.99,24.01,1080.5,2
S001,R000081,206-2-000009,구미1동,2,37.34435,127.09928,False,0.99,24.01,1080.5,2
S001,R000082,206-2-000009,구미동,1,37.35086,127.10686,False,1.13,23.87,1074.2,2
S001,R000082,206-2-000009,구미동,2,37.34087,127.10423,False,1.13,23.87,1074.2,2
S001,R000083,206-2-000009,구미1동,1,37.35086,127.10686,False,0.74,24.26,1091.7,2
S001,R000083,206-2-000009,구미1동,2,37.34543,127.10199,False,0.74,24.26,1091.7,2
S001,R000084,206-2-000009,정자3동,1,37.35086,127.10686,False,1.12,23.88,1074.6,2
S001,R000084,206-2-000009,정자3동,2,37.35474,127.11849,False,1.12,23.88,1074.6,2
S001,R000085,206-2-000009,구미1동,1,37.35086,127.10686,False,0.52,24.48,1101.6,2
S001,R000085,206-2-000009,구미1동,2,37.34651,127.1047,False,0.52,24.48,1101.6,2
S001,R000086,206-2-000009,구미1동,1,37.35086,127.10686,False,0.38,24.62,1107.9,2
S001,R000086,206-2-000009,구미1동,2,37.34868,127.11012,False,0.38,24.62,1107.9,2
S001,R000087,206-2-000009,금곡동,1,37.35086,127.10686,False,1.02,23.98,1079.1,2
S001,R000087,206-2-000009,금곡동,2,37.35955,127.10318,False,1.02,23.98,1079.1,2
S001,R000088,206-2-000009,금곡동,1,37.35086,127.10686,False,1.02,23.98,1079.1,2
S001,R000088,206-2-000009,금곡동,2,37.35847,127.10047,False,1.02,23.98,1079.1,2
S001,R000089,206-2-000009,금곡동,1,37.35086,127.10686,False,0.5,24.5,1102.5,2
S001,R000089,206-2-000009,금곡동,2,37.3539,127.10271,False,0.5,24.5,1102.5,2
S001,R000090,206-2-000009,금곡동,1,37.35086,127.10686,False,0.76,24.24,1090.8,2
S001,R000090,206-2-000009,금곡동,2,37.35541,127.11331,False,0.76,24.24,1090.8,2
S001,R000091,206-2-000009,금곡동,1,37.35086,127.10686,False,0.5,24.5,1102.5,2
S001,R000091,206-2-000009,금곡동,2,37.34826,127.10223,False,0.5,24.5,1102.5,2
S001,R000092,206-2-000009,금곡동,1,37.35086,127.10686,False,0.32,24.68,1110.6,2
S001,R000092,206-2-000009,금곡동,2,37.3515,127.11036,False,0.32,24.68,1110.6,2
S001,R000093,206-2-000009,금곡동,1,37.35086,127.10686,False,0.58,24.42,1098.9,2
S001,R000093,206-2-000009,금곡동,2,37.35258,127.11307,False,0.58,24.42,1098.9,2
S001,R000094,206-2-000009,금곡동,1,37.35086,127.10686,False,0.85,24.15,1086.8,2
S001,R000094,206-2-000009,금곡동,2,37.35366,127.11578,False,0.85,24.15,1086.8,2
S001,R000095,206-2-000009,정자3동,1,37.35086,127.10686,False,1.08,23.92,1076.4,2
S001,R000095,206-2-000009,정자3동,2,37.35997,127.11107,False,1.08,23.92,1076.4,2
S001,R000096,206-2-000009,정자1동,1,37.35086,127.10686,False,0.78,24.22,1089.9,2
S001,R000096,206-2-000009,정자1동,2,37.35781,127.10565,False,0.78,24.22,1089.9,2
S001,R000097,206-2-000009,구미1동,1,37.35086,127.10686,False,0.68,24.32,1094.4,2
S001,R000097,206-2-000009,구미1동,2,37.34477,127.10717,False,0.68,24.32,1094.4,2
S001,R000098,206-2-000009,구미동,1,37.35086,127.10686,False,1.16,23.84,1072.8,2
S001,R000098,206-2-000009,구미동,2,37.34129,127.11212,False,1.16,23.84,1072.8,2
S001,R000099,206-2-000009,구미동,1,37.35086,127.10686,False,0.96,24.04,1081.8,2
S001,R000099,206-2-000009,구미동,2,37.34519,127.11506,False,0.96,24.04,1081.8,2
S001,R000100,206-2-000009,구미1동,1,37.35086,127.10686,False,1.01,23.99,1079.5,2
S001,R000100,206-2-000009,구미1동,2,37.3491,127.11801,False,1.01,23.99,1079.5,2
S001,R000101,206-2-000009,금곡동,1,37.35086,127.10686,False,0.64,24.36,1096.2,2
S001,R000101,206-2-000009,금곡동,2,37.35,127.09976,False,0.64,24.36,1096.2,2
S001,R000102,206-2-000009,금곡동,1,37.35086,127.10686,False,0.65,24.35,1095.8,2
S001,R000102,206-2-000009,금곡동,2,37.35282,127.1,False,0.65,24.35,1095.8,2
S001,R000103,206-2-000009,정자1동,1,37.35086,127.10686,False,1.09,23.91,1076.0,2
S001,R000103,206-2-000009,정자1동,2,37.36063,127.10589,False,1.09,23.91,1076.0,2
S001,R000104,206-2-000009,구미1동,1,37.35086,127.10686,False,0.54,24.46,1100.7,2
S001,R000104,206-2-000009,구미1동,2,37.34976,127.11283,False,0.54,24.46,1100.7,2
S001,R000105,206-2-000009,금곡동,1,37.35086,127.10686,False,0.48,24.52,1103.4,2
S001,R000105,206-2-000009,금곡동,2,37.35499,127.10541,False,0.48,24.52,1103.4,2
S001,R000106,206-2-000009,금곡동,1,37.35086,127.10686,False,0.92,24.08,1083.6,2
S001,R000106,206-2-000009,금곡동,2,37.35456,127.09752,False,0.92,24.08,1083.6,2
S001,R000107,206-2-000009,정자1동,1,37.35086,127.10686,False,0.9,24.1,1084.5,2
S001,R000107,206-2-000009,정자1동,2,37.35889,127.10836,False,0.9,24.1,1084.5,2
S001,R000108,206-2-000009,금곡동,1,37.35086,127.10686,False,0.59,24.41,1098.5,2
S001,R000108,206-2-000009,금곡동,2,37.35607,127.10812,False,0.59,24.41,1098.5,2
S001,R000109,206-2-000009,금곡동,1,37.35086,127.10686,False,1.11,23.89,1075.0,2
S001,R000109,206-2-000009,금곡동,2,37.35348,127.09482,False,1.11,23.89,1075.0,2
S001,R000110,206-2-000009,금곡동,1,37.35086,127.10686,False,0.74,24.26,1091.7,2
S001,R000110,206-2-000009,금곡동,2,37.35673,127.10294,False,0.74,24.26,1091.7,2
S001,R000111,206-2-000009,구미1동,1,37.35086,127.10686,False,0.82,24.18,1088.1,2
S001,R000111,206-2-000009,구미1동,2,37.34369,127.10446,False,0.82,24.18,1088.1,2
S001,R000112,206-2-000009,구미1동,1,37.35086,127.10686,False,0.62,24.38,1097.1,2
S001,R000112,206-2-000009,구미1동,2,37.34585,127.10988,False,0.62,24.38,1097.1,2
S001,R000113,206-2-000009,금곡동,1,37.35086,127.10686,False,0.85,24.15,1086.8,2
S001,R000113,206-2-000009,금곡동,2,37.35174,127.09729,False,0.85,24.15,1086.8,2
S001,R000114,206-2-000009,구미1동,1,37.35086,127.10686,False,1.04,23.96,1078.2,2
S001,R000114,206-2-000009,구미1동,2,37.34609,127.09681,False,1.04,23.96,1078.2,2
S001,R000115,206-2-000009,구미1동,1,37.35086,127.10686,False,0.77,24.23,1090.3,2
S001,R000115,206-2-000009,구미1동,2,37.35084,127.11554,False,0.77,24.23,1090.3,2
S001,R000116,206-2-000009,금곡동,1,37.35086,127.10686,False,1.09,23.91,1076.0,2
S001,R000116,206-2-000009,금곡동,2,37.35066,127.09458,False,1.09,23.91,1076.0,2
S001,R000117,206-2-000009,구미동,1,37.35086,127.10686,False,1.09,23.91,1076.0,2
S001,R000117,206-2-000009,구미동,2,37.34627,127.11777,False,1.09,23.91,1076.0,2
S001,R000118,205-3-000001,성남동,1,37.42018,127.12628,True,0.7,24.3,1093.5,3
S001,R000118,205-3-000001,성남동,2,37.42645,127.12716,True,0.7,24.3,1093.5,3
S001,R000119,205-3-000001,야탑1동,1,37.42018,127.12628,True,1.03,23.97,1078.6,3
S001,R000119,205-3-000001,야탑1동,2,37.41124,127.12325,True,1.03,23.97,1078.6,3
S001,R000120,205-3-000001,도촌동,1,37.42018,127.12628,True,0.43,24.57,1105.7,3
S001,R000120,205-3-000001,도촌동,2,37.41689,127.12373,True,0.43,24.57,1105.7,3
S001,R000121,205-3-000001,도촌동,1,37.42018,127.12628,True,0.72,24.28,1092.6,3
S001,R000121,205-3-000001,도촌동,2,37.4232,127.11902,True,0.72,24.28,1092.6,3
S001,R000122,205-3-000001,도촌동,1,37.42018,127.12628,True,0.74,24.26,1091.7,3
S001,R000122,205-3-000001,도촌동,2,37.42122,127.13459,True,0.74,24.26,1091.7,3
S001,R000123,205-3-000001,야탑1동,1,37.42018,127.12628,True,1.04,23.96,1078.2,3
S001,R000123,205-3-000001,야탑1동,2,37.41166,127.13116,True,1.04,23.96,1078.2,3
S001,R000124,205-3-000001,도촌동,1,37.42018,127.12628,True,0.08,24.92,1121.4,3
S001,R000124,205-3-000001,도촌동,2,37.4208,127.12668,True,0.08,24.92,1121.4,3
S001,R000125,205-3-000001,하대원동,1,37.42018,127.12628,True,0.58,24.42,1098.9,3
S001,R000125,205-3-000001,하대원동,2,37.42471,127.12964,True,0.58,24.42,1098.9,3
S001,R000126,205-3-000001,야탑1동,1,37.42018,127.12628,True,0.56,24.44,1099.8,3
S001,R000126,205-3-000001,야탑1동,2,37.41515,127.12621,True,0.56,24.44,1099.8,3
S001,R000127,205-3-000001,도촌동,1,37.42018,127.12628,True,0.6,24.4,1098.0,3
S001,R000127,205-3-000001,도촌동,2,37.42297,127.13211,True,0.6,24.4,1098.0,3
S001,R000128,205-3-000001,도촌동,1,37.42018,127.12628,True,0.9,24.1,1084.5,3
S001,R000128,205-3-000001,도촌동,2,37.42603,127.11926,True,0.9,24.1,1084.5,3
S001,R000129,205-3-000001,야탑1동,1,37.42018,127.12628,True,0.78,24.22,1089.9,3
S001,R000129,205-3-000001,야탑1동,2,37.41341,127.12868,True,0.78,24.22,1089.9,3
S001,R000130,205-3-000001,도촌동,1,37.42018,127.12628,True,1.01,23.99,1079.5,3
S001,R000130,205-3-000001,도촌동,2,37.41666,127.13682,True,1.01,23.99,1079.5,3
S001,R000131,205-3-000001,도촌동,1,37.42018,127.12628,True,0.48,24.52,1103.4,3
S001,R000131,205-3-000001,도촌동,2,37.41863,127.12126,True,0.48,24.52,1103.4,3
S001,R000132,205-3-000001,하대원동,1,37.42018,127.12628,True,1.14,23.86,1073.7,3
S001,R000132,205-3-000001,하대원동,2,37.42513,127.13754,True,1.14,23.86,1073.7,3
S001,R000133,205-3-000001,도촌동,1,37.42018,127.12628,True,0.49,24.51,1103.0,3
S001,R000133,205-3-000001,도촌동,2,37.42014,127.13187,True,0.49,24.51,1103.0,3
S001,R000134,205-3-000001,도촌동,1,37.42018,127.12628,True,0.45,24.55,1104.8,3
S001,R000134,205-3-000001,도촌동,2,37.42146,127.1215,True,0.45,24.55,1104.8,3
S001,R000135,205-3-000001,시흥동,1,37.42018,127.12628,True,0.66,24.34,1095.3,3
