chart_id,rank,label,GU_NM,value1,value2,value3,category
robot,5,정자1동,분당구,0.6485,2.0,,
robot,6,백현동,분당구,0.6333,5.0,,
robot,7,야탑2동,분당구,0.5629,1.0,,
robot,8,태평1동,수정구,0.5093,3.0,,
robot,9,정자2동,분당구,0.4775,1.0,,
robot,10,수진2동,수정구,0.4726,1.0,,
robot,11,이매2동,분당구,0.4655,1.0,,
robot,12,신흥1동,수정구,0.455,1.0,,
robot,13,위례동,수정구,0.4493,8.0,,
robot,14,삼평동,분당구,0.4378,6.0,,
robot,15,정자3동,분당구,0.4324,5.0,,
