scenario_id,lot_id,lot_name,lat,lon,gu,dong,rank,cover_n,cover_ds,route_fi,delivery_zone,explanation
S001,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,분당구,백현동,1,60,21.2425,0.78124,부적합,수요커버 Ds=21.24 | 60셀 | 선정순위#1 | 경로타당성78%
S026,206-2-000021,수내제2공영,37.36665,127.12851,분당구,수내3동,5,1,0.2677,0.74003,부적합,수요커버 Ds=0.27 | 1셀 | 선정순위#5 | 경로타당성74%
S026,206-2-000010,수내동,37.3668,127.12796,분당구,수내3동,6,0,0.0,0.5,부적합,수요커버 Ds=0.00 | 0셀 | 선정순위#6 | 경로타당성50%
S027,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,분당구,백현동,1,60,24.7201,0.78124,부적합,수요커버 Ds=24.72 | 60셀 | 선정순위#1 | 경로타당성78%
S027,206-2-000007,정자역환승,37.36575,127.10733,분당구,정자1동,2,57,19.8032,0.78484,부적합,수요커버 Ds=19.80 | 57셀 | 선정순위#2 | 경로타당성78%
S027,206-2-000003,야탑 제2환승,37.41176,127.12816,분당구,야탑1동,3,58,18.86,0.69246,부적합,수요커버 Ds=18.86 | 58셀 | 선정순위#3 | 경로타당성69%
S027,204-2-000034,신흥제9공영주차장,37.44339,127.14236,수정구,신흥1동,4,59,18.2457,0.62646,부적합,수요커버 Ds=18.25 | 59셀 | 선정순위#4 | 경로타당성63%
S027,206-2-000005,점골,37.37694,127.13998,분당구,서현2동,5,60,17.6343,0.6887,부적합,수요커버 Ds=17.63 | 60셀 | 선정순위#5 | 경로타당성69%
S027,206-2-000022,운중동공영주차장,37.39088,127.0779,분당구,운중동,6,60,16.6903,0.71941,부적합,수요커버 Ds=16.69 | 60셀 | 선정순위#6 | 경로타당성72%
S028,206-2-000009,금곡동,37.35086,127.10686,분당구,금곡동,1,57,19.6877,0.69945,드론우선,수요커버 Ds=19.69 | 57셀 | 선정순위#1 | 경로타당성70%
S028,206-2-000006,정자전원마을,37.35922,127.12451,분당구,정자3동,2,28,7.8523,0.71791,드론우선,수요커버 Ds=7.85 | 28셀 | 선정순위#2 | 경로타당성72%
S028,206-2-000008,오리환승,37.33971,127.10941,분당구,구미동,3,16,4.559,0.74493,드론우선,수요커버 Ds=4.56 | 16셀 | 선정순위#3 | 경로타당성74%
S028,206-2-000007,정자역환승,37.36575,127.10733,분당구,정자1동,4,3,1.0077,0.83482,부적합,수요커버 Ds=1.01 | 3셀 | 선정순위#4 | 경로타당성83%
S028,206-2-000021,수내제2공영,37.36665,127.12851,분당구,수내3동,5,1,0.2712,0.74003,부적합,수요커버 Ds=0.27 | 1셀 | 선정순위#5 | 경로타당성74%
S028,206-2-000010,수내동,37.3668,127.12796,분당구,수내3동,6,0,0.0,0.5,부적합,수요커버 Ds=0.00 | 0셀 | 선정순위#6 | 경로타당성50%
S029,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,분당구,백현동,1,60,26.4338,0.78124,부적합,수요커버 Ds=26.43 | 60셀 | 선정순위#1 | 경로타당성78%
S029,206-2-000009,금곡동,37.35086,127.10686,분당구,금곡동,2,57,21.9485,0.69945,드론우선,수요커버 Ds=21.95 | 57셀 | 선정순위#2 | 경로타당성70%
S029,204-2-000034,신흥제9공영주차장,37.44339,127.14236,수정구,신흥1동,3,59,21.3739,0.62646,부적합,수요커버 Ds=21.37 | 59셀 | 선정순위#3 | 경로타당성63%
S029,206-2-000004,맛고을,37.41166,127.13178,분당구,야탑1동,4,60,20.9802,0.65956,부적합,수요커버 Ds=20.98 | 60셀 | 선정순위#4 | 경로타당성66%
S029,206-2-000005,점골,37.37694,127.13998,분당구,서현2동,5,60,20.4795,0.6887,부적합,수요커버 Ds=20.48 | 60셀 | 선정순위#5 | 경로타당성69%
S029,206-2-000022,운중동공영주차장,37.39088,127.0779,분당구,운중동,6,60,19.6134,0.71941,부적합,수요커버 Ds=19.61 | 60셀 | 선정순위#6 | 경로타당성72%
