name,type,facility_weight,lat,lon,h3_index,ADM_NM,GU_NM,zone,composite_v3,Ds_v3,Ra,dist_to_grid_m,vtp_score,dist_to_hub_m,near_hub
nan,공영주차장,1.0,37.408907,127.065533,8930e1c9323ffff,시흥동,수정구,일반,0.069,0.1912,0.4602,122.0,0.459,4317.0,False
nan,공영주차장,1.0,37.420959,127.18305,8930e152ecfffff,도촌동,중원구,일반,0.0543,0.2121,0.3622,112.0,0.4587,2512.0,False
nan,공원,0.7,37.384828,127.07277,8930e026887ffff,운중동,분당구,로봇전용,0.0956,0.247,0.6374,133.0,0.4581,2916.0,False
태평4동공영주차장,공영주차장,1.0,37.45119,127.13865,8930e1c8b6bffff,태평4동,수정구,일반,0.0876,0.1569,0.5842,115.0,0.4577,1990.0,False
nan,공영주차장,1.0,37.451735,127.139745,8930e1c8b6bffff,태평4동,수정구,일반,0.0876,0.1569,0.5842,130.0,0.4577,1911.0,False
nan,공영주차장,1.0,37.410324,127.124832,8930e153597ffff,야탑2동,분당구,일반,0.1074,0.1277,0.7157,121.0,0.4577,173.0,True
nan,공영주차장,1.0,37.428167,127.115292,8930e1c9973ffff,고등동,수정구,일반,0.0992,0.1394,0.661,139.0,0.4576,2009.0,False
유료주차장,공영주차장,1.0,37.440847,127.133015,8930e152403ffff,수진1동,수정구,일반,0.0848,0.1591,0.5651,113.0,0.4573,3231.0,False
nan,공영주차장,1.0,37.446381,127.138959,8930e1524a7ffff,태평4동,수정구,일반,0.085,0.1569,0.567,157.0,0.4569,2509.0,False
nan,공영주차장,1.0,37.449243,127.133133,8930e1524b3ffff,태평2동,수정구,일반,0.092,0.1467,0.6135,137.0,0.4569,2352.0,False
nan,공영주차장,1.0,37.446949,127.138673,8930e1524a7ffff,태평4동,수정구,일반,0.085,0.1569,0.567,112.0,0.4569,2451.0,False
신흥 제7공영주차장,공영주차장,1.0,37.441811,127.136945,8930e152407ffff,수진1동,수정구,일반,0.0837,0.1591,0.5583,108.0,0.4569,3041.0,False
태평제3공영주차장,공영주차장,1.0,37.449247,127.136803,8930e1524b7ffff,태평2동,수정구,일반,0.0905,0.1467,0.6034,30.0,0.4565,2241.0,False
거주자 우선 주차장,공영주차장,1.0,37.437439,127.138786,8930e152477ffff,수진1동,수정구,일반,0.082,0.1591,0.5468,114.0,0.4564,3220.0,False
도담어린이공원,공원,0.7,37.388674,127.082108,8930e026d6fffff,운중동,분당구,로봇전용,0.0889,0.247,0.5927,75.0,0.4561,2705.0,False
nan,공영주차장,1.0,37.387991,127.128201,8930e153087ffff,이매1동,분당구,일반,0.0924,0.141,0.6163,147.0,0.4559,939.0,True
nan,공영주차장,1.0,37.389727,127.099912,8930e026937ffff,판교동,분당구,일반,0.0947,0.1369,0.6312,147.0,0.4558,1211.0,True
nan,공영주차장,1.0,37.389057,127.098,8930e0269afffff,판교동,분당구,일반,0.0948,0.1369,0.6322,127.0,0.4558,1394.0,True
nan,공영주차장,1.0,37.435868,127.136415,8930e152473ffff,수진1동,수정구,일반,0.08,0.1591,0.5336,80.0,0.4558,2975.0,False
nan,공영주차장,1.0,37.436007,127.136467,8930e152473ffff,수진1동,수정구,일반,0.08,0.1591,0.5336,95.0,0.4558,2991.0,False
판교제2공영주차장,공영주차장,1.0,37.390397,127.098533,8930e0269afffff,판교동,분당구,일반,0.0948,0.1369,0.6322,60.0,0.4558,1280.0,True
nan,공영주차장,1.0,37.435748,127.136446,8930e152473ffff,수진1동,수정구,일반,0.08,0.1591,0.5336,73.0,0.4558,2964.0,False
nan,공영주차장,1.0,37.44537,127.137477,8930e1524a3ffff,태평2동,수정구,일반,0.0841,0.1467,0.5604,157.0,0.4546,2644.0,False
nan,공영주차장,1.0,37.445896,127.136942,8930e1524a3ffff,태평2동,수정구,일반,0.0841,0.1467,0.5604,86.0,0.4546,2598.0,False
nan,공영주차장,1.0,37.447012,127.136582,8930e1524a3ffff,태평2동,수정구,일반,0.0841,0.1467,0.5604,42.0,0.4546,2485.0,False
nan,공원,0.7,37.373606,127.071292,8930e026857ffff,운중동,분당구,로봇전용,0.0831,0.247,0.5541,86.0,0.4543,1895.0,False
nan,공원,0.7,37.374233,127.070066,8930e026857ffff,운중동,분당구,로봇전용,0.0831,0.247,0.5541,62.0,0.4543,2018.0,False
nan,공원,0.7,37.372862,127.069523,8930e026857ffff,운중동,분당구,로봇전용,0.0831,0.247,0.5541,119.0,0.4543,1939.0,False
야탑초등학교,학교,0.6,37.416244,127.125896,8930e152653ffff,야탑1동,분당구,로봇전용,0.0944,0.4302,0.6291,125.0,0.4543,603.0,True
nan,공영주차장,1.0,37.426327,127.059659,8930e1c910bffff,고등동,수정구,일반,0.0882,0.1394,0.5877,59.0,0.4543,5709.0,False
nan,공원,0.7,37.373301,127.069971,8930e026857ffff,운중동,분당구,로봇전용,0.0831,0.247,0.5541,57.0,0.4543,1947.0,False
nan,공영주차장,1.0,37.425978,127.059262,8930e1c910bffff,고등동,수정구,일반,0.0882,0.1394,0.5877,63.0,0.4543,5714.0,False
nan,공영주차장,1.0,37.401561,127.127438,8930e153513ffff,이매1동,분당구,일반,0.0863,0.141,0.5753,66.0,0.4541,1138.0,True
nan,공영주차장,1.0,37.400989,127.12748,8930e153513ffff,이매1동,분당구,일반,0.0863,0.141,0.5753,126.0,0.4541,1199.0,True
nan,공영주차장,1.0,37.402791,127.127306,8930e153513ffff,이매1동,분당구,일반,0.0863,0.141,0.5753,85.0,0.4541,1005.0,True
nan,공영주차장,1.0,37.426491,127.062531,8930e1c910fffff,고등동,수정구,일반,0.087,0.1394,0.5799,142.0,0.454,5519.0,False
nan,공영주차장,1.0,37.426778,127.062822,8930e1c910fffff,고등동,수정구,일반,0.087,0.1394,0.5799,132.0,0.454,5519.0,False
nan,공영주차장,1.0,37.424492,127.058849,8930e1c9147ffff,고등동,수정구,일반,0.0855,0.1394,0.5699,89.0,0.4535,5648.0,False
nan,공영주차장,1.0,37.424699,127.058837,8930e1c9147ffff,고등동,수정구,일반,0.0855,0.1394,0.5699,112.0,0.4535,5662.0,False
nan,공영주차장,1.0,37.424829,127.059097,8930e1c9147ffff,고등동,수정구,일반,0.0855,0.1394,0.5699,129.0,0.4535,5652.0,False
한아름어린이공원,공원,0.7,37.417803,127.125957,8930e1526cfffff,도촌동,중원구,로봇전용,0.1027,0.2121,0.6847,47.0,0.4532,768.0,True
nan,공원,0.7,37.41779,127.126638,8930e1526cfffff,도촌동,중원구,로봇전용,0.1027,0.2121,0.6847,27.0,0.4532,787.0,True
nan,공영주차장,1.0,37.391954,127.089826,8930e026987ffff,판교동,분당구,일반,0.0846,0.1369,0.5639,80.0,0.4528,1953.0,False
nan,공영주차장,1.0,37.423668,127.061162,8930e1c9173ffff,고등동,수정구,일반,0.083,0.1394,0.5533,127.0,0.4528,5428.0,False
nan,공영주차장,1.0,37.426518,127.062964,8930e1c9177ffff,고등동,수정구,일반,0.0831,0.1394,0.5539,133.0,0.4528,5491.0,False
nan,공영주차장,1.0,37.389419,127.094327,8930e0269abffff,판교동,분당구,일반,0.0845,0.1369,0.5636,83.0,0.4527,1662.0,False
nan,공영주차장,1.0,37.373608,127.14742,8930e1533bbffff,분당동,분당구,일반,0.089,0.1296,0.5936,108.0,0.4526,1129.0,True
nan,공영주차장,1.0,37.445736,127.135012,8930e1524bbffff,태평3동,수정구,일반,0.0807,0.1411,0.5379,89.0,0.4524,2660.0,False
nan,공영주차장,1.0,37.446053,127.139186,8930e1524afffff,태평2동,수정구,일반,0.0769,0.1467,0.5126,127.0,0.4524,2541.0,False
nan,공영주차장,1.0,37.445137,127.133215,8930e1524bbffff,태평3동,수정구,일반,0.0807,0.1411,0.5379,86.0,0.4524,2773.0,False
nan,공원,0.7,37.465175,127.129231,8930e1c8b9bffff,복정동,수정구,로봇전용,0.088,0.229,0.5863,130.0,0.4522,1345.0,True
기왓골어린이공원,공원,0.7,37.464172,127.12789,8930e1c8b9bffff,복정동,수정구,로봇전용,0.088,0.229,0.5863,84.0,0.4522,1492.0,True
Pagoda,공원,0.7,37.465978,127.128622,8930e1c8b9bffff,복정동,수정구,로봇전용,0.088,0.229,0.5863,138.0,0.4522,1375.0,True
기왓골공원,공원,0.7,37.464112,127.127978,8930e1c8b9bffff,복정동,수정구,로봇전용,0.088,0.229,0.5863,92.0,0.4522,1487.0,True
성남여수지구시청공원,공원,0.7,37.419089,127.123937,8930e1526c3ffff,도촌동,중원구,로봇전용,0.0988,0.2121,0.6589,70.0,0.4521,875.0,True
nan,공영주차장,1.0,37.442988,127.136253,8930e1524abffff,태평2동,수정구,일반,0.0757,0.1467,0.5046,96.0,0.452,2927.0,False
nan,공원,0.7,37.463783,127.126555,8930e1c886fffff,복정동,수정구,로봇전용,0.0874,0.229,0.5827,131.0,0.452,1618.0,False
nan,공영주차장,1.0,37.391398,127.091939,8930e0269bbffff,판교동,분당구,일반,0.0812,0.1369,0.5412,91.0,0.4517,1786.0,False
nan,공영주차장,1.0,37.389204,127.140353,8930e1531d7ffff,이매1동,분당구,일반,0.078,0.141,0.5197,158.0,0.4516,1039.0,True
nan,공영주차장,1.0,37.373727,127.153555,8930e1506dbffff,분당동,분당구,일반,0.0849,0.1296,0.5658,100.0,0.4514,1147.0,True
nan,공영주차장,1.0,37.426388,127.06811,8930e1c912bffff,고등동,수정구,일반,0.0785,0.1394,0.5235,121.0,0.4514,5135.0,False
nan,공영주차장,1.0,37.452541,127.133818,8930e1c8b4fffff,태평2동,수정구,일반,0.0716,0.1467,0.4772,158.0,0.4508,1994.0,False
nan,공영주차장,1.0,37.450486,127.135793,8930e1c8b4fffff,태평2동,수정구,일반,0.0716,0.1467,0.4772,140.0,0.4508,2137.0,False
nan,공영주차장,1.0,37.443726,127.134507,8930e152417ffff,태평3동,수정구,일반,0.0742,0.1411,0.4948,126.0,0.4505,2887.0,False
nan,공영주차장,1.0,37.372651,127.155951,8930e1506cbffff,분당동,분당구,일반,0.0811,0.1296,0.5407,66.0,0.4502,1334.0,True
nan,공영주차장,1.0,37.371618,127.148261,8930e1533abffff,분당동,분당구,일반,0.0809,0.1296,0.5392,88.0,0.4502,1338.0,True
nan,공영주차장,1.0,37.371612,127.148669,8930e1533abffff,분당동,분당구,일반,0.0809,0.1296,0.5392,76.0,0.4502,1336.0,True
택시사무소,공영주차장,1.0,37.430495,127.149107,8930e152013ffff,하대원동,중원구,일반,0.0664,0.1504,0.4427,130.0,0.45,3130.0,False
주차장,공영주차장,1.0,37.430657,127.149192,8930e152013ffff,하대원동,중원구,일반,0.0664,0.1504,0.4427,150.0,0.45,3148.0,False
주차장,공영주차장,1.0,37.430581,127.148901,8930e152013ffff,하대원동,중원구,일반,0.0664,0.1504,0.4427,132.0,0.45,3123.0,False
주차장,공영주차장,1.0,37.430612,127.149004,8930e152013ffff,하대원동,중원구,일반,0.0664,0.1504,0.4427,138.0,0.45,3132.0,False
주차장,공영주차장,1.0,37.430729,127.14952,8930e152017ffff,하대원동,중원구,일반,0.0649,0.1504,0.433,142.0,0.4496,3174.0,False
택시회사,공영주차장,1.0,37.43023,127.149987,8930e152017ffff,하대원동,중원구,일반,0.0649,0.1504,0.433,106.0,0.4496,3167.0,False
nan,공영주차장,1.0,37.447091,127.143931,8930e1525c3ffff,신흥2동,수정구,일반,0.0702,0.1425,0.4682,63.0,0.4496,2392.0,False
