target_h3_index,assigned_lot_id,assigned_lot_name,target_ADM_NM,target_GU_NM,Ds,delivery_zone,drone_time_min,route_mean_constraint_score,airspace_approval_required,drone_direct_feasible_strict,robot_handoff_feasible
8930e024d17ffff,206-2-000007,정자역환승,금곡동,분당구,0.3352825633228366,드론우선,1.0768986540882328,0.761089163199789,True,False,True
8930e024d83ffff,206-2-000007,정자역환승,금곡동,분당구,0.3352825633228366,드론우선,0.7799512642639166,0.8119645159240801,True,False,True
8930e024d87ffff,206-2-000007,정자역환승,정자1동,분당구,0.6610120434351695,드론우선,0.582100684095324,0.8212353263365167,True,False,True
8930e024d8bffff,206-2-000007,정자역환승,금곡동,분당구,0.3352825633228366,드론우선,1.0740046540596226,0.7978633450319882,True,False,True
8930e024d8fffff,206-2-000007,정자역환승,정자1동,분당구,0.6610120434351695,드론우선,0.8937123547659103,0.7802662020317778,True,False,True
8930e024d93ffff,206-2-000007,정자역환승,금곡동,분당구,0.3352825633228366,드론우선,0.7671358082921914,0.843023024898101,True,False,True
8930e024d97ffff,206-2-000007,정자역환승,금곡동,분당구,0.3352825633228366,부적합,0.5102584303278496,0.8442946648374864,True,False,True
8930e024d9bffff,206-2-000007,정자역환승,금곡동,분당구,0.3352825633228366,드론우선,1.0108120172870712,0.8263501751906589,True,False,True
8930e024da3ffff,206-2-000007,정자역환승,정자3동,분당구,0.2978596732733048,드론우선,0.7218412849201343,0.7352091471579729,True,False,True
8930e024da7ffff,206-2-000007,정자역환승,정자동,분당구,0.4300143748335851,부적합,0.7734329435055896,0.7086328685111177,True,False,True
8930e024dabffff,206-2-000007,정자역환승,정자동,분당구,0.4300143748335851,드론우선,1.0037783553410495,0.7750007016256097,True,False,True
8930e024dafffff,206-2-000007,정자역환승,정자3동,분당구,0.2978596732733048,드론우선,0.9997061974466386,0.7117534895745001,True,False,True
8930e024db3ffff,206-2-000007,정자역환승,정자동,분당구,0.4300143748335851,부적합,0.4618612558126635,0.8018107512221748,True,False,True
