h3_index,lat,lon,CSV_ADMI_CD,ADM_NM,GU_NM,delivery_demand_index,flow_pop_index,urgency,score_airspace,score_obstacle,score_noise,score_terrain,score_weather,composite_score,tall_bldg_count,total_bldg_count,avg_slope,terrain_zone,Hr,Fp,Cc,Od,Ds_v2,Ec,Od_v2,Ds_v3
8930e15048fffff,37.400306613196605,127.16428431212562,41135640,야탑3동,분당구,0.0952964136419912,0.2491020055222445,0.1568186503940925,0.0,1.0,0.9948577305450804,1.0,0.8,0.0,0,3,,Unknown,0.469978522737884,0.232590439514758,0.0952964136419912,0.0952964136419912,0.2420245528389508,0.26880613857527175,0.07553142506331056,0.2481629427903718
8930e1526cbffff,37.41689085975597,127.12373196049744,41133670,도촌동,중원구,0.1258360805453779,0.2006614114125326,0.1557662128922398,0.0,0.825,0.778882413438464,1.0,0.8,0.0,2,131,,Unknown,0.282659445326361,0.1929170348690428,0.1258360805453779,0.1258360805453779,0.189653328560589,0.1745603382005516,0.2850510321540941,0.21208520687769883
8930e152377ffff,37.41203224588092,127.17315342044958,41133670,도촌동,중원구,0.1258360805453779,0.2006614114125326,0.1557662128922398,0.0,1.0,1.0,1.0,0.8,0.0,0,0,,Unknown,0.282659445326361,0.1929170348690428,0.1258360805453779,0.1258360805453779,0.189653328560589,0.1745603382005516,0.2850510321540941,0.21208520687769883
8930e153093ffff,37.38864022136622,127.1213470727658,41135580,서현1동,분당구,0.9968130393916228,0.6447023797590359,0.855968775538588,0.0,0.3,0.9520054850874186,1.0,0.8,0.0,10,38,,Unknown,0.3879914090951536,0.6379679208477442,0.9968130393916228,0.9968130393916228,0.7244552706667124,0.6063353609372737,0.898837387767631,0.6800467246742612
8930e024d2fffff,37.35192030572759,127.11824990891245,41135665,구미1동,분당구,0.3151374004709809,0.2235613294144668,0.2785069720483753,1.0,0.65,0.9245800479945148,1.0,0.8,0.4807816249571477,4,48,,Unknown,0.2080493043234662,0.2212685070153227,0.3151374004709809,0.3151374004709809,0.2595437482628119,0.35778522681970787,0.27309876448469034,0.27181536761477243
8930e153577ffff,37.3968776493054,127.13514813755047,41135600,이매1동,분당구,0.1032687369307485,0.2296300483595816,0.1538132615022818,0.0,0.9125,0.703462461432979,1.0,0.8,0.0,1,174,,Unknown,0.145298347184611,0.2137762129782459,0.1032687369307485,0.1032687369307485,0.1435044890187816,0.11272169362423047,0.12464507712378176,0.140974677071365
8930e1cd24bffff,37.44552823245763,127.16813413064028,41133530,금광1동,중원구,0.0932983234690339,0.1457818178067272,0.1142917212041112,0.0,0.7375,0.700034281796366,1.0,0.8,0.0,3,178,,Unknown,0.1917079092352227,0.1347705732537219,0.0932983234690339,0.0932983234690339,0.1331892616450625,0.01762523839130404,0.11511012201672934,0.11433232263412706
8930e026a87ffff,37.365249830368754,127.06962656971962,41135680,운중동,분당구,0.2059581325868684,0.3036603248464614,0.2450390094907056,1.0,0.9125,0.8200205690778195,1.0,0.8,0.5986150154268083,1,106,,Unknown,0.2067419927164067,0.2916803098533317,0.2059581325868684,0.2059581325868684,0.2276238349423457,0.2209674265773783,0.3438914895249789,0.2469903954113642
8930e1514cbffff,37.34536619318118,127.13603151072658,41135670,구미동,분당구,0.4625237494876398,0.3638099021031401,0.4230382105338399,1.0,1.0,1.0,1.0,0.8,0.8,0,0,,Unknown,0.4201139228686152,0.3347497094445013,0.4625237494876398,0.4625237494876398,0.4178572914911478,0.3011957405091735,0.3673163993553833,0.3798197805087242
8930e1c9b77ffff,37.40907428009868,127.11782947314204,41135655,삼평동,분당구,0.4465934301776538,1.0,0.6679560581065923,0.0,0.825,0.9297223174494345,1.0,0.8,0.0,2,43,,Unknown,0.184330936595387,1.0,0.4465934301776538,0.4465934301776538,0.5062663245585604,1.0,0.7124932852428824,0.6422754129708099
8930e1c9e0fffff,37.415419882004,127.0790592500282,41131650,시흥동,수정구,0.1287571319758471,0.268369406110957,0.1846020416298911,0.0,1.0,0.914295509084676,1.0,0.8,0.0,0,50,,Unknown,0.0966476795218974,0.261308367454804,0.1287571319758471,0.1287571319758471,0.1522621051094014,0.3081515232711472,0.1828140587829023,0.19122743323826935
