ADM_NM,GU_NM,CSV_ADMI_CD,area_km2,avg_total_corp,weighted_corp,corporate_density_per_km2,weighted_corp_density_per_km2,Ec,top_industry,total_merchant_count,delivery_related_merchant_count,delivery_merchant_ratio,Od_merchant,corporate_context_note
신촌동,수정구,41131630,4.979344494107751,132.16666666666666,178.57777777777778,26.542985090319522,35.86371217920264,8.232773197673476e-05,C 제조업(10~34),2084942,1621321,0.7776336224221105,0.0,aggregated over 36 months
고등동,수정구,41131640,12.312881052140243,528.8888888888889,631.4444444444445,42.95411339143544,51.28324084107723,0.008349366840529351,C 제조업(10~34),9885215,8560347,0.8659747916459075,0.03205057527634208,aggregated over 36 months
시흥동,수정구,41131650,12.9392628034501,954.8055555555555,1084.1805555555557,73.79134113428533,83.78997876652384,0.025777556742701564,C 제조업(10~34),16516661,13504046,0.8176014510438884,0.05574270964217224,aggregated over 36 months
복정동,수정구,41131620,3.557342987609908,671.5833333333334,792.1722222222222,188.7879059377836,222.68648960230385,0.1002456492700706,C 제조업(10~34),19433866,16420724,0.844954061121961,0.06972056854455704,aggregated over 36 months
위례동,수정구,41131625,3.163805081566485,1116.5833333333333,1257.7916666666667,352.9241860818059,397.5566238245942,0.19400067059623918,C 제조업(10~34),51854129,39019051,0.7524772231734912,0.17802056814545658,aggregated over 36 months
성남동,중원구,41133510,1.9992387740249733,922.8611111111111,1090.4777777777776,461.606248889,545.4464929080832,0.27329046980358374,C 제조업(10~34),52945648,43295448,0.8177338390494342,0.19851473098296613,aggregated over 36 months
금광1동,중원구,41133530,0.6057031647123033,64.61111111111111,71.46666666666667,106.67124571125541,117.98958768956058,0.04411336393005158,"M 전문, 과학 및 기술 서비스업(70~73)",11721061,9296901,0.7931791328447143,0.035580429406961614,aggregated over 36 months
금광2동,중원구,41133540,1.0939362352207627,173.52777777777777,182.86388888888888,158.62695849247453,167.16137833388973,0.0704763692597366,C 제조업(10~34),18250849,13992601,0.7666821965378159,0.058084055809302995,aggregated over 36 months
은행1동,중원구,41133550,0.27291798311826476,25.5,28.541666666666668,93.43466380868706,104.57964821723961,0.036923747665378856,G 도매 및 소매업(45~47),2249396,2134015,0.9487057859087507,0.00125308513314484,aggregated over 36 months
은행2동,중원구,41133560,2.405438916726862,88.33333333333333,89.09444444444445,36.72233483838808,37.03874740900815,0.0007123121116385898,C 제조업(10~34),16807259,14115357,0.8398369418832661,0.05867235045390248,aggregated over 36 months
상대원1동,중원구,41133570,6.7858519025077175,3334.9166666666665,4218.458333333333,491.4514366920158,621.6549364677998,0.3141489290422145,C 제조업(10~34),57999625,23548938,0.4060187975353289,0.10388175106727772,aggregated over 36 months
상대원2동,중원구,41133580,0.5138221354738839,319.1111111111111,403.2638888888889,621.0536469332988,784.8316782167624,0.4016346450602594,C 제조업(10~34),4401067,2992194,0.6798792201981928,0.005365813715110239,aggregated over 36 months
상대원3동,중원구,41133590,0.3056581345753627,51.611111111111114,72.29166666666667,168.85240493537702,236.51150906583354,0.10765780687149537,C 제조업(10~34),8208393,6872790,0.8372881269208235,0.023963143740968012,aggregated over 36 months
하대원동,중원구,41133660,2.337584167637853,343.8611111111111,411.93888888888887,147.1010609464323,176.22419530037985,0.07533531559581219,C 제조업(10~34),13286830,8788622,0.6614536349151754,0.033144558136617326,aggregated over 36 months
도촌동,중원구,41133670,9.391862698617366,536.2222222222222,590.4333333333333,57.094342137386946,62.8664783845546,0.014559613591608749,C 제조업(10~34),66911968,16640292,0.2486893226634733,0.07077282406384261,aggregated over 36 months
중앙동,중원구,41133525,0.6786809340951521,65.72222222222223,60.050000000000004,96.83817375810925,88.4804581700256,0.02829231432815784,C 제조업(10~34),7615944,5529704,0.7260694143759461,0.017526551631119627,aggregated over 36 months
분당동,분당구,41135510,3.383924961234854,151.88888888888889,164.48333333333335,44.885418745651485,48.60726381867241,0.006914666261612992,C 제조업(10~34),7076367,5632108,0.7959038868391083,0.01801731155149473,aggregated over 36 months
수내3동,분당구,41135540,1.0490324098754318,69.44444444444444,72.88055555555555,66.19856907251386,69.47407427022183,0.018102215625572706,C 제조업(10~34),11001720,8746268,0.7949909650491014,0.03294158124442984,aggregated over 36 months
수내1동,분당구,41135520,1.0217219713034844,1732.638888888889,2149.1222222222223,1695.8027110628116,2103.431542614702,1.0,C 제조업(10~34),254955282,53289468,0.20901495972929088,0.24640997393663178,aggregated over 36 months
수내2동,분당구,41135530,0.8226998582148141,78.19444444444444,79.79166666666667,95.04613822849012,96.98757799692288,0.03285332873088687,"M 전문, 과학 및 기술 서비스업(70~73)",8304261,7037437,0.8474489180915676,0.024752196401118,aggregated over 36 months
정자2동,분당구,41135560,0.5019344775885174,64.66666666666667,62.11944444444445,128.8348769691011,123.76006673797285,0.0472071534364883,"M 전문, 과학 및 기술 서비스업(70~73)",4134770,3306552,0.7996942998038585,0.006872339896209379,aggregated over 36 months
정자3동,분당구,41135570,1.9687129686780778,123.83333333333333,137.35277777777776,62.90065403311845,69.76780260151655,0.01825969538097582,C 제조업(10~34),357917866,325520172,0.9094828811926365,1.0,aggregated over 36 months
서현1동,분당구,41135580,7.484775044383908,2074.4166666666665,2472.711111111111,277.1515048034977,330.3654547328679,0.1579767405001072,C 제조업(10~34),359424867,77874178,0.21666330059461356,0.3642294958502775,aggregated over 36 months
서현2동,분당구,41135590,0.7800593665657237,163.25,193.6861111111111,209.27894336904345,248.29662896534444,0.1139762909992971,C 제조업(10~34),18291936,14244651,0.7787393854865882,0.05929197774526785,aggregated over 36 months
이매1동,분당구,41135600,2.882911089400445,380.02777777777777,423.3305555555555,131.82084566361414,146.84134974262943,0.05958197198375439,C 제조업(10~34),13572237,11252774,0.829102380101379,0.04495373589639379,aggregated over 36 months
이매2동,분당구,41135610,0.6355134130849796,123.08333333333333,120.5111111111111,193.67542965906665,189.6279584818088,0.08252162049867422,C 제조업(10~34),7091433,5746389,0.8103283215113222,0.018564990689618113,aggregated over 36 months
야탑1동,분당구,41135620,1.151192628060717,1570.2222222222222,1904.0305555555558,1363.9960715066397,1653.9634715721375,0.8676116981670075,C 제조업(10~34),69666212,52076732,0.747517778058609,0.24059806988214152,aggregated over 36 months
야탑3동,분당구,41135640,5.104612760248028,975.75,1181.9111111111113,191.15064076919114,231.53785930936778,0.10499123009404757,C 제조업(10~34),9986276,8153369,0.8164574061441923,0.030100177920043318,aggregated over 36 months
야탑2동,분당구,41135630,0.6227531162587076,275.75,348.7861111111111,442.79184286802735,560.0712417249734,0.28113139497537115,C 제조업(10~34),15935026,13173315,0.8266892692864135,0.054157717657234365,aggregated over 36 months
구미동,분당구,41135670,3.7550516784150316,1008.1666666666666,1173.6416666666667,268.4827674840958,312.55007045922963,0.14842518534211996,C 제조업(10~34),49688576,34170390,0.6876910700761479,0.1547838929541959,aggregated over 36 months
운중동,분당구,41135680,17.57157493563445,646.1666666666666,748.0416666666666,36.77340642677774,42.57112236135806,0.003678444287088193,C 제조업(10~34),21622938,18031042,0.833884923501145,0.07743784065754669,aggregated over 36 months
금곡동,분당구,41135662,5.75861311525052,869.1944444444445,1010.0888888888888,150.93815594983437,175.40488806477956,0.07489605152314473,C 제조업(10~34),37206605,26316743,0.7073137417402099,0.11714615247165458,aggregated over 36 months
구미1동,분당구,41135665,3.5441604040060604,1071.888888888889,1340.0194444444444,302.43802951957366,378.0922113259276,0.18356500405415213,C 제조업(10~34),29648403,25088394,0.8461971459305919,0.11125942482983556,aggregated over 36 months
삼평동,분당구,41135655,2.7945222552890607,3280.4166666666665,3721.508333333333,1173.8738743117813,1331.7154036937118,0.6948413471255126,C 제조업(10~34),135698459,90860000,0.669572821014865,0.4264626212235563,aggregated over 36 months
판교동,분당구,41135650,4.572927409058836,358.9166666666667,395.2583333333333,78.48728714907288,86.4344210997835,0.027195350286769077,C 제조업(10~34),15007920,12722439,0.8477150064765804,0.051996943958364746,aggregated over 36 months
백현동,분당구,41135657,1.9312449228616158,582.3888888888889,633.3472222222222,301.5613825023996,327.9476438875303,0.1566804533532173,C 제조업(10~34),1436184678,44003376,0.030639079133804824,0.20190739815330425,aggregated over 36 months
정자1동,분당구,41135550,1.4557733504963624,2098.0,2460.3805555555555,1441.158405107954,1690.084898666857,0.8869778705706505,C 제조업(10~34),2734426657,46418659,0.01697564602113956,0.21348237659910066,aggregated over 36 months
정자동,분당구,41135545,0.9738534512244245,241.88888888888889,276.1388888888889,248.3832537480484,283.55281643423854,0.1328785730998173,C 제조업(10~34),17828181,14613325,0.8196756023511316,0.06105880738946505,aggregated over 36 months
