h3_index,lat,lon,CSV_ADMI_CD,ADM_NM,GU_NM,Ds,demand_grade,score_airspace,score_obstacle,score_noise_proxy,score_terrain,score_robot,score_weather,constraint_score,constraint_grade,n_highrise,n_buildings_total,n_lowrise,Ra,Ra_grade,n_crossings,weather_risk,weather_source,airspace_data_status,airspace_proxy_flag,terrain_method,hard_exclusion_flag,constraint_note,airspace_score,obstacle_score,noise_sensitive_score,robot_access_score,weather_score,noise_method,hard_exclusion_reasons
8930e026bd3ffff,37.36675589569753,127.0802218402037,41135662,금곡동,분당구,0.3352825633228366,B,0.0,0.96875,0.8799999999999999,0.6,0.2966923071298109,0.944093,0.6179070614259621,B,1,1,0,0.2966923071298109,C,0.0,0.055907,kma_hourly_observed_1year,official_vworld_wfs_관제권,False,rasterstats_zonal_mean,True,airspace:official_vworld_wfs_관제권 | obstacle:official_osm_buildings | noise:proxy_building_density | terrain:rasterstats_zonal_mean | robot:NB07b_ra_index | weather:NB07c_kma_1year,0.0,0.96875,0.8799999999999999,0.2966923071298109,0.944093,noise_proxy×0.7 + terrain_slope×0.3,관제권내비행금지
8930e1c886fffff,37.46384143895194,127.12507591957736,41131620,복정동,수정구,0.2465699214638441,C,0.0,0.96875,0.8221634361021597,1.0,0.0,0.944093,0.547001287220432,B,1,286,278,,,,0.055907,kma_hourly_observed_1year,official_vworld_wfs_관제권,False,rasterstats_zonal_mean,True,airspace:official_vworld_wfs_관제권 | obstacle:official_osm_buildings | noise:proxy_building_density | terrain:rasterstats_zonal_mean | robot:NB07b_ra_index | weather:NB07c_kma_1year,0.0,0.96875,0.8221634361021597,0.0,0.944093,noise_proxy×0.7 + terrain_slope×0.3,관제권내비행금지
8930e026147ffff,37.37658046665476,127.036556886217,41135680,운중동,분당구,0.3436518582823575,B,1.0,0.96875,0.8799999999999999,0.6,0.0,0.944093,0.7585686,C,1,1,0,0.0,D,0.0,0.055907,kma_hourly_observed_1year,official_vworld_wfs_관제권,False,rasterstats_zonal_mean,False,airspace:official_vworld_wfs_관제권 | obstacle:official_osm_buildings | noise:proxy_building_density | terrain:rasterstats_zonal_mean | robot:NB07b_ra_index | weather:NB07c_kma_1year,1.0,0.96875,0.8799999999999999,0.0,0.944093,noise_proxy×0.7 + terrain_slope×0.3,
8930e1cd2d3ffff,37.45641046378504,127.16118557535144,41131610,양지동,수정구,0.2266696641990689,D,0.0,0.8125,0.3615672598594799,1.0,0.3605825547820449,0.944093,0.495748562928305,D,6,1147,1040,0.3605825547820449,B,0.0,0.055907,kma_hourly_observed_1year,official_vworld_wfs_관제권,False,rasterstats_zonal_mean,True,airspace:official_vworld_wfs_관제권 | obstacle:official_osm_buildings | noise:proxy_building_density | terrain:rasterstats_zonal_mean | robot:NB07b_ra_index | weather:NB07c_kma_1year,0.0,0.8125,0.3615672598594799,0.3605825547820449,0.944093,noise_proxy×0.7 + terrain_slope×0.3,관제권내비행금지
8930e1504d3ffff,37.39705993404701,127.15613984861837,41135640,야탑3동,분당구,0.2899265421066042,C,0.0,0.96875,0.879360300129864,0.6,0.3517101851172692,0.944093,0.6287826970494266,B,1,1,1,0.3517101851172692,B,0.0,0.055907,kma_hourly_observed_1year,official_vworld_wfs_관제권,False,rasterstats_zonal_mean,True,airspace:official_vworld_wfs_관제권 | obstacle:official_osm_buildings | noise:proxy_building_density | terrain:rasterstats_zonal_mean | robot:NB07b_ra_index | weather:NB07c_kma_1year,0.0,0.96875,0.879360300129864,0.3517101851172692,0.944093,noise_proxy×0.7 + terrain_slope×0.3,관제권내비행금지
8930e15222bffff,37.40553751701205,127.1568600856166,41135640,야탑3동,분당구,0.2899265421066042,C,0.0,0.9375,0.7725304218171323,0.6,0.381097819140919,0.944093,0.6070442481916103,C,2,180,168,0.381097819140919,B,0.0,0.055907,kma_hourly_observed_1year,official_vworld_wfs_관제권,False,rasterstats_zonal_mean,True,airspace:official_vworld_wfs_관제권 | obstacle:official_osm_buildings | noise:proxy_building_density | terrain:rasterstats_zonal_mean | robot:NB07b_ra_index | weather:NB07c_kma_1year,0.0,0.9375,0.7725304218171323,0.381097819140919,0.944093,noise_proxy×0.7 + terrain_slope×0.3,관제권내비행금지
8930e1530d7ffff,37.382990570755126,127.12087037419342,41135580,서현1동,분당구,0.4628651701696695,A,0.0,0.6875,0.9641768072723775,1.0,0.7904115086369348,0.944093,0.6772362631818625,A,10,118,56,0.7904115086369348,A,3.0,0.055907,kma_hourly_observed_1year,official_vworld_wfs_관제권,False,rasterstats_zonal_mean,True,airspace:official_vworld_wfs_관제권 | obstacle:official_osm_buildings | noise:proxy_building_density | terrain:rasterstats_zonal_mean | robot:NB07b_ra_index | weather:NB07c_kma_1year,0.0,0.6875,0.9641768072723775,0.7904115086369348,0.944093,noise_proxy×0.7 + terrain_slope×0.3,관제권내비행금지
8930e024d73ffff,37.34867601800112,127.11012052334262,41135665,구미1동,분당구,0.3418592734528097,B,1.0,0.34375,0.8375162329854262,1.0,0.8520547077478857,0.944093,0.7954827881466625,B,21,318,254,0.8520547077478857,A,5.0,0.055907,kma_hourly_observed_1year,official_vworld_wfs_관제권,False,rasterstats_zonal_mean,False,airspace:official_vworld_wfs_관제권 | obstacle:official_osm_buildings | noise:proxy_building_density | terrain:rasterstats_zonal_mean | robot:NB07b_ra_index | weather:NB07c_kma_1year,1.0,0.34375,0.8375162329854262,0.8520547077478857,0.944093,noise_proxy×0.7 + terrain_slope×0.3,
8930e1535bbffff,37.406013523133225,127.1306777794074,41135630,야탑2동,분당구,0.3576010326362412,B,0.0,0.0,0.9149199172718965,1.0,0.3696238910245211,0.944093,0.4457273616592835,D,35,183,133,0.3696238910245211,B,0.0,0.055907,kma_hourly_observed_1year,official_vworld_wfs_관제권,False,rasterstats_zonal_mean,True,airspace:official_vworld_wfs_관제권 | obstacle:official_osm_buildings | noise:proxy_building_density | terrain:rasterstats_zonal_mean | robot:NB07b_ra_index | weather:NB07c_kma_1year,0.0,0.0,0.9149199172718965,0.3696238910245211,0.944093,noise_proxy×0.7 + terrain_slope×0.3,관제권내비행금지|장애물밀집
8930e15311bffff,37.38708006895328,127.14480467150356,41135580,서현1동,분당구,0.4628651701696695,A,0.0,0.96875,0.8799999999999999,0.6,0.2546387324959427,0.944093,0.6094963464991886,B,1,1,0,0.2546387324959427,C,0.0,0.055907,kma_hourly_observed_1year,official_vworld_wfs_관제권,False,rasterstats_zonal_mean,True,airspace:official_vworld_wfs_관제권 | obstacle:official_osm_buildings | noise:proxy_building_density | terrain:rasterstats_zonal_mean | robot:NB07b_ra_index | weather:NB07c_kma_1year,0.0,0.96875,0.8799999999999999,0.2546387324959427,0.944093,noise_proxy×0.7 + terrain_slope×0.3,관제권내비행금지
