admi_nm,zone_type,demand_index_100,resident_score,inflow_score,trend_score,inc_per_cap,card_per_cap,age3040_ratio,econ_ratio,stay2yr_ratio,avg_inc,avg_card,high_ratio,avg_dist,inc_per_cap_chg,card_per_cap_chg,avg_inc_chg,avg_card_chg
수내3동,안정 수요 구역,65.61,0.8048845981605159,0.5745520372533545,0.4064410003278036,532.5717686671647,320.62070693009343,0.3842198720045579,0.9379352073961166,0.6663098240637889,5577.965354189834,3576.0540694710135,0.41822302467805655,16290.921507642128,0.021170927920804706,0.03592378161061516,-0.028962133738107597,-0.21443730668570074
서현1동,즉시 확장 구역,60.87,0.6919578564216569,0.5459936266462968,0.4944377868201652,485.6913019970037,286.85324106917267,0.3649622390023668,0.9433078372272752,0.6701721072028808,5270.870407618408,3423.4695164944596,0.44594602403713207,16169.752687172198,0.017963812954611785,0.04481931036402069,0.039567065632374554,0.04027260433699052
시흥동,즉시 확장 구역,59.87,0.6072316978343043,0.4102062990359738,0.8601349697349954,433.4177356534007,278.73954537064816,0.4392827218065378,0.9423082352872855,0.4213238635067387,5222.8391887636735,3315.7276188070223,0.41475818040968043,9381.748681856097,0.049221716929121126,0.1760949819485151,0.062007584074106344,0.016089126661981354
이매1동,안정 수요 구역,58.99,0.6691978124246567,0.5764235267873932,0.41165500954609097,493.32338695111326,264.5964897326649,0.34183105089014837,0.9484791259703699,0.7187243381834205,5319.458737973871,3377.5332561420364,0.45134472422428035,18024.09379875712,0.020828779075964098,0.021403956618488536,-0.03335034749145073,0.1572609912095139
구미1동,즉시 확장 구역,58.34,0.5744689704551427,0.4905531750406035,0.7451540412513541,440.7446854181804,252.71585434933922,0.35278441484202006,0.9406878558033317,0.6634583552536314,5010.3590134388505,2996.3776701056227,0.42889481047911016,17007.587560379543,0.022736574966528443,0.06427083232213497,0.09299834156198176,0.3873559120617944
서현2동,안정 수요 구역,57.36,0.6938979780076848,0.46128192110502464,0.44136715603736565,487.48531982245953,287.463570343937,0.36244769060628657,0.9427872560962727,0.6762975980846057,4932.058627268134,3085.7453280329314,0.40319261823735075,15537.068940991536,0.018331552264919528,0.04641675072843417,-0.046952315755353774,0.1431598768826786
구미동,즉시 확장 구역,56.33,0.5786202309037534,0.4829618333449584,0.6455208246980958,442.07670524688245,253.7467013818433,0.35361668038641575,0.9408539315094073,0.6638974058548618,4706.02887607653,3049.6350292955585,0.39187366397286255,18330.70596414044,0.022812678902223632,0.06501136609356732,0.05451417678981153,-0.0293598972368264
금곡동,안정 수요 구역,56.24,0.6327276608160091,0.5508094573824001,0.40415944140685395,465.8398041489563,271.9822784602299,0.36036544355082245,0.933909722548868,0.6715428741604672,5202.565032317106,3255.3137060810895,0.4439393176814142,17896.952385409186,0.02305855657445699,0.014301676967913485,-0.02000000000000007,-0.027722772277227664
위례동,안정 수요 구역,53.73,0.5800396030755666,0.5202561822540583,0.4558286456629063,434.5021090133518,243.26585944365218,0.40922166840689767,0.9373548076611047,0.5909681455870616,4963.027485438098,3387.39087304172,0.41349250331164267,16859.21174485828,0.01705464585877847,0.04789378872661354,0.015367330293857631,-0.023715907953516448
분당동,안정 수요 구역,51.25,0.5725466137556667,0.5006348634689541,0.38011876229072916,443.54307078810456,249.33045014949235,0.3392301001392856,0.9434713687485766,0.6915781769177627,4746.219519617424,3214.552329572281,0.37313350434561166,18616.015168146343,0.027471255350196358,-0.007262930936717399,-0.06059113882723002,-0.057729192305088606
