h3_index,lat,lon,CSV_ADMI_CD,ADM_NM,GU_NM,Ds,demand_grade,score_airspace,score_obstacle,score_noise_proxy,score_terrain,score_robot,score_weather,constraint_score,constraint_grade,drone_score,robot_score,service_priority_score,delivery_zone,high_demand_flag,priority_zone,zone_reason,airspace_data_status,airspace_proxy_flag,airspace_proxy_caution_flag,hard_exclusion_flag
8930e026e87ffff,37.37743326342659,127.05232504921548,41135680,운중동,분당구,0.34365185828235756,B,0.0,0.96875,0.9908614304266269,0.6,0.0,0.944093,0.6959856432049925,C,0.6028875930426627,0.0,0.3656539937919928,부적합,True,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
8930e1c9a93ffff,37.41302239505267,127.0867169561995,41131650,시흥동,수정구,0.2292619362013324,D,0.0,0.96875,0.7907267567697561,1.0,0.16714333763093914,0.944093,0.7897997677001303,A,0.6628741256769756,0.16714333763093914,0.36860248280372887,부적합,False,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
8930e152ea7ffff,37.43091730080255,127.19314002704044,41133670,도촌동,중원구,0.2853938536924451,C,0.0,0.96875,1.0,0.6,0.22377308518179873,0.944093,0.7396565784715873,C,0.60380145,0.22377308518179873,0.38451235869796,부적합,False,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
8930e15338bffff,37.37187180618153,127.14089498373785,41135510,분당동,분당구,0.25547859328212585,C,0.0,0.21875,0.8784570246741378,1.0,0.32476467147402144,0.944093,0.6483031930277798,D,0.4841471524674138,0.32476467147402144,0.3493698046353558,부적합,False,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
8930e0263b7ffff,37.37201820318094,127.03879378898407,41135680,운중동,분당구,0.34365185828235756,B,1.0,0.96875,0.9506517243037853,0.6,0.0,0.944093,0.6884463233069597,D,0.8988666224303785,0.0,0.4692466540776934,드론우선,True,True,"드론 적합, 로봇 접근성 낮음",official_vworld_wfs_관제권,False,False,False
8930e02689bffff,37.38284823647526,127.06586190035354,41135680,운중동,분당구,0.34365185828235756,B,0.0,0.96875,0.9972584291279881,0.6,0.3658156633402542,0.944093,0.7657755173377954,A,0.6035272929127988,0.3658156633402542,0.43904102141459134,부적합,True,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
8930e1c998bffff,37.43581620367022,127.10959821223652,41131640,고등동,수정구,0.24694815124964348,C,0.0,0.96875,1.0,0.6,0.0,0.944093,0.697699125,C,0.60380145,0.0,0.32245717556233955,부적합,False,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
8930e1c9e6fffff,37.40911457956361,127.08376982213555,41131650,시흥동,수정구,0.2292619362013324,D,0.0,0.96875,0.778846616324371,0.6,0.0,0.944093,0.6562328655608195,D,0.5816861116324371,0.0,0.30675801036195255,부적합,False,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
8930e1523d7ffff,37.417924290849044,127.16053622805416,41133670,도촌동,중원구,0.2853938536924451,C,0.0,0.90625,0.9460824395170987,0.6,0.3309136754635709,0.944093,0.7340108965588755,C,0.5827846939517098,0.3309136754635709,0.3985846121374129,부적합,False,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
8930e1c9e17ffff,37.41998439448996,127.07682201474783,41131650,시흥동,수정구,0.2292619362013324,D,0.0,0.96875,0.8419027463806454,0.6,0.2490405848706635,0.944093,0.7147509996096204,C,0.5879917246380646,0.2490405848706635,0.35877309188805484,부적합,False,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
8930e153283ffff,37.36712437367741,127.12215162776972,41135560,정자2동,분당구,0.2576258864556208,C,0.0,0.0,0.9515655812611226,1.0,0.4775055681197722,0.944093,0.6359624655089178,D,0.4367705081261123,0.4775055681197722,0.3643024403731231,부적합,False,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
8930e1c9933ffff,37.43450111503413,127.11997497244867,41131580,수진2동,수정구,0.3244089278797707,C,0.0,0.96875,0.8885094512048483,1.0,0.4726350505432668,0.944093,0.8654137190777714,A,0.6726523951204848,0.4726350505432668,0.4759393659467199,부적합,False,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
8930e026c77ffff,37.386328950962486,127.06091752143112,41135680,운중동,분당구,0.34365185828235756,B,0.0,0.96875,0.9945168582559761,0.6,0.3354605600036219,0.944093,0.7595698909236747,B,0.6032531358255976,0.3354605600036219,0.4328740457667445,부적합,True,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
8930e026d27ffff,37.398901257714215,127.08553300486233,41135650,판교동,분당구,0.29816322204591883,C,0.0,0.96875,0.9963445721706508,0.6,0.3697006609791916,0.944093,0.7663326062155954,A,0.6034359072170651,0.3697006609791916,0.4193161496424746,부적합,False,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
8930e1c9883ffff,37.43105311265181,127.09084984122902,41131640,고등동,수정구,0.24694815124964348,C,0.0,0.96875,0.9497378673464479,0.6,0.1932771075513511,0.944093,0.7245144327933373,C,0.5987752367346448,0.1932771075513511,0.35935342242973545,부적합,False,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
8930e026843ffff,37.370896597459264,127.07009837670303,41135680,운중동,분당구,0.34365185828235756,B,0.0,0.96875,0.9342022990717137,0.6,0.3497062457518311,0.944093,0.7509319771544146,B,0.5972216799071713,0.3497062457518311,0.43361217334493707,부적합,True,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
8930e1c9d67ffff,37.4392983662,127.10464819002063,41131640,고등동,수정구,0.24694815124964348,C,0.0,0.96875,0.9963445721706508,0.6,0.16983045291134044,0.944093,0.7288569422028732,C,0.6034359072170651,0.16983045291134044,0.3562953261705804,부적합,False,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
8930e1522cfffff,37.40577627030193,127.14376740258135,41135640,야탑3동,분당구,0.2899265421066042,C,0.0,0.75,0.9067865903515944,0.6,0.385331205724528,0.944093,0.6977837117642729,C,0.5397926090351595,0.385331205724528,0.3964605982551833,부적합,False,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
8930e152c97ffff,37.45202897311462,127.1844418200758,41133570,상대원1동,중원구,0.2265850361917555,D,0.0,0.96875,1.0,0.6,0.3492259805370886,0.944093,0.7631789963507041,B,0.60380145,0.3492259805370886,0.3831389698937077,부적합,False,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
8930e024933ffff,37.3432041731306,127.13060988402296,41135670,구미동,분당구,0.3326673998045227,B,1.0,0.96875,0.9433408686450868,0.6,0.1595440667124409,0.944093,0.7169900503795364,C,0.8981355368645088,0.1595440667124409,0.4959565811571014,드론우선,True,True,"드론 적합, 로봇 접근성 낮음",official_vworld_wfs_관제권,False,False,False
8930e15317bffff,37.380767725298575,127.14951266065472,41135580,서현1동,분당구,0.46286517016966955,A,0.0,0.96875,0.8939925929488721,0.6,0.4396989897237428,0.944093,0.7602662967511152,B,0.5932007092948872,0.4396989897237428,0.5038493727743104,부적합,True,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
8930e0261a7ffff,37.39003849282753,127.04290744989481,41135680,운중동,분당구,0.34365185828235756,B,0.0,0.96875,0.9990861430426627,0.6,0.16399187323734385,0.944093,0.7282762530525012,C,0.6037100643042663,0.16399187323734385,0.3987402333810229,부적합,True,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
8930e026b6fffff,37.35738791957401,127.09776153107704,41135662,금곡동,분당구,0.3352825633228366,B,1.0,0.96875,0.9597902938771584,0.6,0.3493195446349998,0.944093,0.7556572197210296,B,0.8997804793877159,0.3493195446349998,0.535664230207977,드론우선,True,True,"드론 적합, 로봇 접근성 낮음",official_vworld_wfs_관제권,False,False,False
8930e15046fffff,37.38767809473557,127.17370137137465,41135580,서현1동,분당구,0.46286517016966955,A,0.0,0.96875,1.0,0.6,0.34430404631517214,0.944093,0.7622561336840947,B,0.60380145,0.34430404631517214,0.48848064333938573,부적합,True,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
8930e1521c7ffff,37.43596517696154,127.16469512829912,41133570,상대원1동,중원구,0.2265850361917555,D,0.0,0.96875,0.028264401272591777,0.6,0.3787007721429335,0.944093,0.5865050950154109,D,0.5066278901272592,0.3787007721429335,0.3550231822594174,부적합,False,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
8930e153333ffff,37.37054778744827,127.15126710031618,41135510,분당동,분당구,0.25547859328212585,C,0.0,0.96875,0.9844644317252658,0.6,0.3754472926088609,0.944093,0.7651825733126487,A,0.6022478931725266,0.3754472926088609,0.4008415881091131,부적합,False,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
8930e1526abffff,37.424049305894236,127.13482553327273,41133660,하대원동,중원구,0.2609272515073311,C,0.0,0.96875,0.9607041508344957,0.6,0.22357308033597872,0.944093,0.7322511058444638,C,0.5998718650834496,0.22357308033597872,0.37208703202470206,부적합,False,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
8930e153073ffff,37.37601959397419,127.13076320237897,41135580,서현1동,분당구,0.46286517016966955,A,0.0,0.0,0.8949064499062094,1.0,0.39854331678775085,0.944093,0.6105334562551176,D,0.4311045949906209,0.39854331678775085,0.4388845981806188,부적합,True,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
8930e024d0fffff,37.351500154572186,127.11035824566055,41135662,금곡동,분당구,0.3352825633228366,B,1.0,0.0,0.8775431677168005,1.0,0.31271968970821623,0.944093,0.5911859107671906,D,0.7293682667716801,0.31271968970821623,0.46869998480700775,드론우선,True,True,"드론 적합, 로봇 접근성 낮음",official_vworld_wfs_관제권,False,False,False
8930e153557ffff,37.396455220359066,127.12724856171994,41135600,이매1동,분당구,0.2805467112355271,C,0.0,0.4375,0.8007791833004665,1.0,0.8339168558995829,0.944093,0.7838921323500093,A,0.5310668683300467,0.8339168558995829,0.4789027951514201,부적합,False,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
