month,admi_nm,tot_cnt,avg_inc,avg_card,high_ratio,avg_dist
202412,정자1동,2667,5907.386576677915,5154.105736782903,0.4806899137607799,14922.361829771278
202412,정자2동,720,4759.722222222223,2331.9444444444443,0.3958333333333333,18617.223611111112
202412,정자3동,619,5174.474959612277,3025.848142164782,0.42487883683360256,16402.615508885297
202412,정자동,991,5203.834510595359,3207.8708375378405,0.39152371342078707,16551.194752774976
202412,중앙동,1200,4154.166666666667,2452.5,0.2808333333333333,14665.75
202412,태평1동,984,3098.5772357723577,2107.723577235772,0.16869918699186992,16670.795731707316
202412,태평2동,681,3582.966226138032,2217.3274596182086,0.22466960352422907,13258.629955947137
202412,태평3동,503,3461.2326043737576,2514.910536779324,0.2286282306163022,13399.779324055666
202412,태평4동,462,3324.6753246753246,2021.6450216450216,0.170995670995671,11559.458874458875
202412,판교동,1397,5851.825340014317,4171.796707229778,0.525411596277738,18117.50894774517
202412,하대원동,860,3905.813953488372,2327.906976744186,0.25232558139534883,14183.283720930232
202501,고등동,1190,4499.1596638655465,3459.6638655462184,0.3915966386554622,13875.136974789915
202501,구미1동,993,4789.526686807653,2935.5488418932528,0.4310171198388721,17695.192346424974
202501,구미동,1722,4589.430894308943,3011.0336817653892,0.3786295005807201,18511.712543554007
202501,금곡동,1735,5186.743515850144,3358.5014409221903,0.4507204610951009,16828.67780979827
202501,금광1동,2197,3726.900318616295,2469.276285844333,0.27401001365498406,16310.263541192535
202501,금광2동,1329,3565.838976674191,2115.8765989465765,0.2310007524454477,15066.393528969149
202501,단대동,816,3958.3333333333335,2373.774509803922,0.27818627450980393,12925.335784313726
202501,도촌동,1680,4485.714285714285,3280.3571428571427,0.3464285714285714,13248.054166666667
202501,백현동,1753,5830.576155162578,3658.870507701084,0.4791785510553337,14425.320022818027
202501,복정동,1282,3900.1560062402496,2223.8689547581903,0.23634945397815912,14804.940717628706
202501,분당동,1117,4894.359892569382,3155.774395702775,0.37511190689346463,18566.31423455685
202501,산성동,149,3328.8590604026845,2476.510067114094,0.19463087248322147,12196.630872483222
202501,삼평동,2297,5740.966478014802,3702.65563778842,0.5145842403134523,11368.87766652155
202501,상대원1동,1584,3669.191919191919,2547.348484848485,0.22474747474747475,10015.23042929293
202501,상대원2동,152,3282.8947368421054,2881.5789473684213,0.21710526315789475,7002.486842105263
202501,상대원3동,283,3106.0070671378094,2388.6925795053003,0.14487632508833923,10428.922261484098
202501,서현1동,2182,5097.158570119157,3489.4592117323555,0.44912923923006415,15273.33180568286
202501,서현2동,557,4888.689407540395,3059.245960502693,0.4272890484739677,14506.543985637343
202501,성남동,3037,3492.9206453737243,2343.1017451432335,0.22884425419822194,13645.760289759632
202501,수내1동,1216,5391.4473684210525,3898.8486842105262,0.4432565789473684,15011.370888157895
202501,수내2동,256,7398.4375,4871.09375,0.67578125,19721.34765625
202501,수내3동,419,5656.3245823389025,4021.4797136038187,0.43675417661097854,18095.031026252982
