assigned_lot_id,assigned_lot_name,target_h3_index,target_ADM_NM,target_GU_NM,Ds,esg_index,esg_tier,_score_carbon,_score_time,_score_demand,_score_reliability
204-2-000018,태평4동 제1,8830e15249fffff,태평1동,수정구,0.327805441111458,0.5705678780366461,상(High),0.560900288527853,0.701303917804922,0.28678223951111986,0.5718604659567128
204-2-000018,태평4동 제1,8830e1524bfffff,태평2동,수정구,0.3500239964444031,0.45262401499401406,중(Mid),0.3389883127011254,0.542918055847735,0.31834344285649,0.6413684638229294
204-2-000018,태평4동 제1,8830e15251fffff,신흥2동,수정구,0.357112249558172,0.5452164504827344,중(Mid),0.4198416511666979,0.5955518939031081,0.32841222521136243,0.9371125061773194
204-2-000018,태평4동 제1,8830e15255fffff,중앙동,중원구,0.3028836789262165,0.5263180318430876,중(Mid),0.3882374083305187,0.5792221847370462,0.2513811617962663,1.0
204-2-000018,태평4동 제1,8830e15257fffff,중앙동,중원구,0.3028836789262165,0.5570408328053233,상(High),0.4561705103511123,0.6209763248163455,0.2513811617962663,0.9488817748484881
204-2-000018,태평4동 제1,8830e15259fffff,신흥2동,수정구,0.357112249558172,0.29130913738511494,하(Low),0.28661255070383035,0.049876376940533595,0.32841222521136243,0.8285078595192213
204-2-000018,태평4동 제1,8830e1525bfffff,단대동,수정구,0.2843489320738011,0.7319375824976837,상(High),0.7720432594197623,0.8540576937388499,0.22505276620086725,0.8602955597469288
204-2-000018,태평4동 제1,8830e1525dfffff,신흥2동,수정구,0.357112249558172,0.28625863304429944,하(Low),0.0,0.30136850669776255,0.32841222521136243,0.8767854794558544
206-2-000004,맛고을,8830e15261fffff,도촌동,중원구,0.2853938536924451,0.3838332147927552,중(Mid),0.4164885630985069,0.375114190714215,0.2265370653909724,0.4852779409977111
206-2-000004,맛고을,8830e15263fffff,도촌동,중원구,0.2853938536924451,0.5251954042831202,중(Mid),0.7744050325182473,0.4302774928568306,0.2265370653909724,0.4638397372879805
206-2-000004,맛고을,8830e15265fffff,야탑1동,분당구,0.7196853984687459,0.3951198389646299,중(Mid),0.2268339602849232,0.31911223695373225,0.843443230101678,0.516814569438992
206-2-000004,맛고을,8830e15267fffff,야탑3동,분당구,0.2899265421066042,0.3007455810081714,하(Low),0.20764613391978606,0.3131792282639821,0.23297569736306814,0.5567356642626158
206-2-000004,맛고을,8830e1526dfffff,도촌동,중원구,0.2853938536924451,0.48622930175320456,중(Mid),0.773237725991676,0.38946393196249085,0.2265370653909724,0.3020210777373359
206-3-000001,분당구청 부설주차장,8830e15301fffff,서현1동,분당구,0.4628651701696695,0.4367886845425013,중(Mid),0.5110702909601513,0.34724810848036697,0.4786330375806175,0.4305485940081823
206-2-000005,점골,8830e15303fffff,서현1동,분당구,0.4628651701696695,0.35362193379025775,중(Mid),0.26160718881241624,0.325808071368213,0.4786330375806175,0.5082109139329659
206-3-000001,분당구청 부설주차장,8830e15305fffff,수내2동,분당구,0.1259155769210151,0.2129563273491465,하(Low),0.4043905180293862,0.07992674876309197,0.0,0.2896352264785278
206-2-000005,점골,8830e15307fffff,서현2동,분당구,0.418974930376502,0.6631614984969546,상(High),1.0,0.4674350772413707,0.4162874547003826,0.5807740217161166
206-3-000001,분당구청 부설주차장,8830e15309fffff,서현1동,분당구,0.4628651701696695,0.30135223803742495,하(Low),0.24527172421895946,0.3101570858580586,0.4786330375806175,0.23438132582250656
206-3-000001,분당구청 부설주차장,8830e1530bfffff,서현1동,분당구,0.4628651701696695,0.31587529040416074,하(Low),0.45020356087019986,0.09161568348450598,0.4786330375806175,0.3629573282861405
206-3-000001,분당구청 부설주차장,8830e1530dfffff,수내2동,분당구,0.1259155769210151,0.06503998959832183,하(Low),0.09112950216432836,0.0,0.0,0.22096442560537935
206-2-000005,점골,8830e15315fffff,서현1동,분당구,0.4628651701696695,0.4520198552379675,중(Mid),0.5775043752052327,0.3661615573832696,0.4786330375806175,0.3329454879659942
206-2-000005,점골,8830e15317fffff,서현1동,분당구,0.4628651701696695,0.532480266256843,중(Mid),0.8153707144918096,0.386571670374486,0.4786330375806175,0.2667031727769791
206-2-000005,점골,8830e1531dfffff,서현1동,분당구,0.4628651701696695,0.3071846580519527,하(Low),0.4325052710802822,0.08710006650717837,0.4786330375806175,0.35685222839499253
206-3-000004,분당도서관 부설주차장,8830e15321fffff,정자3동,분당구,0.2978596732733048,0.25547392336733316,하(Low),0.3403659311318011,0.06359124318639937,0.24424461931437416,0.5163481297253794
206-3-000004,분당도서관 부설주차장,8830e15325fffff,정자3동,분당구,0.2978596732733048,0.14620681757294846,하(Low),0.2679442355181839,0.04511326355550854,0.24424461931437416,0.0
206-3-000004,분당도서관 부설주차장,8830e15327fffff,정자3동,분당구,0.2978596732733048,0.25021139762568445,하(Low),0.5046946661044552,0.10551877597705421,0.24424461931437416,0.0
206-3-000004,분당도서관 부설주차장,8830e15329fffff,정자2동,분당구,0.2576258864556208,0.4264301881912349,중(Mid),0.5689545760888517,0.3353359811243441,0.18709298600253896,0.545763635108237
206-2-000005,점골,8830e1532bfffff,수내3동,분당구,0.2948497039907023,0.5062964579174309,중(Mid),0.7365075111137901,0.3813886349236724,0.2399689924264876,0.5269163862689726
206-3-000004,분당도서관 부설주차장,8830e1532dfffff,정자3동,분당구,0.2978596732733048,0.25278282041995304,하(Low),0.11728765811046883,0.2952746585039493,0.24424461931437416,0.4783287780516703
