h3_index,lat,lon,CSV_ADMI_CD,ADM_NM,GU_NM,Od,Fp,Cc,Tp,Ds,urgency,legacy_urgency,demand_b2b,demand_b2c,demand_cv,Ec,h3_id,dong_nm,gu_nm,admi_cty_no,demand_score,demand_tier,demand_grade,demand_rank,demand_percentile,delivery_urgency,od_score,fp_score,cc_score,tp_score,Od_volume,Cc_volume,avg_monthly_del_cnt,delivery_cnt_per_km2,flow_pop_index,area_km2,delivery_demand_index
8930e1506cfffff,37.37379237481344,127.15940736594892,41135510,분당동,분당구,0.02561739245901823,0.6211531610107133,0.005240784280864048,0.5994267973238342,0.25547859328212585,0.25547859328212585,0.32127364854558504,0.0069146662616129,0.02561739245901823,0.30240863416132596,0.0069146662616129,8930e1506cfffff,분당동,분당구,41135510,0.25547859328212585,MEDIUM,C,12,24.0,0.32127364854558504,0.02561739245901823,0.6211531610107133,0.005240784280864048,0.5994267973238342,0.05691142047759652,0.026247045918342194,134154.33333333334,39644.59462610806,0.6094531506204426,3.3839249612350843,0.21102397599713923
8930e1c99dbffff,37.430823333290206,127.10393494745044,41131640,고등동,수정구,0.004734422289132929,0.563307274067727,0.0034386463829846462,0.6906974889051272,0.24694815124964348,0.24694815124964348,0.3957673708183554,0.0083493668405293,0.004734422289132929,0.31715375423536823,0.0083493668405293,8930e1c99dbffff,고등동,수정구,41131640,0.24694815124964348,LOW,C,11,22.0,0.3957673708183554,0.004734422289132929,0.563307274067727,0.0034386463829846462,0.6906974889051272,0.1120858643261128,0.0886782186036037,218377.33333333334,17735.681227537825,0.5631398843293168,12.312881052139309,0.33827617654198167
8930e152427ffff,37.44142886130443,127.14416704872795,41131530,신흥3동,수정구,0.9612032659288843,0.5267766241162426,0.4127336526000749,0.44454867329075964,0.6379810132478028,0.6379810132478028,0.6198673734749133,0.2183908337780689,0.9612032659288843,0.805024364524276,0.2183908337780689,8930e152427ffff,신흥3동,수정구,41131530,0.6379810132478028,HIGH,A,46,92.0,0.6198673734749133,0.9612032659288843,0.5267766241162426,0.4127336526000749,0.44454867329075964,0.1838768519969495,0.11359377069797738,327965.25,1021194.1401182553,0.5338922781743881,0.3211585702616951,0.6477052721893249
8930e1532d3ffff,37.36213629168883,127.11649197062239,41135570,정자3동,분당구,0.17739857150444868,0.6370084093753823,0.1357055145301874,0.2839446151357023,0.2978596732733048,0.2978596732733048,0.44030618698577434,0.0182596953809758,0.17739857150444868,0.4297149600391499,0.0182596953809758,8930e1532d3ffff,정자3동,분당구,41135570,0.2978596732733048,MEDIUM,C,21,42.0,0.44030618698577434,0.17739857150444868,0.6370084093753823,0.1357055145301874,0.2839446151357023,0.2255263302634373,0.36015586292339713,391542.5833333333,198882.51337938107,0.6221473693182836,1.9687129686783518,0.35656020760643803
8930e1c8a27ffff,37.45362258339257,127.12683553268877,41131620,복정동,수정구,0.09459990364592463,0.6054283979324323,0.02065799635014094,0.379589044114181,0.2465699214638441,0.2465699214638441,0.4153883616530645,0.1002456492700706,0.09459990364592463,0.3131435691616831,0.1002456492700706,8930e1c8a27ffff,복정동,수정구,41131620,0.2465699214638441,LOW,C,10,20.0,0.4153883616530645,0.09459990364592463,0.6054283979324323,0.02065799635014094,0.379589044114181,0.23007080997619367,0.07697050516589106,398479.6666666667,112016.09404956081,0.5968634026142088,3.5573429876099936,0.341178602879723
8930e026cc7ffff,37.390465724405125,127.05079347251424,41135680,운중동,분당구,0.011732585289699737,0.8375340736275518,0.007408907915031424,0.8553980536354453,0.34365185828235756,0.34365185828235756,0.584286316426875,0.0036784442870881,0.011732585289699737,0.6171160979681423,0.0036784442870881,8930e026cc7ffff,운중동,분당구,41135680,0.34365185828235756,MEDIUM,B,30,60.0,0.584286316426875,0.011732585289699737,0.8375340736275518,0.007408907915031424,0.8553980536354453,0.25769908480145476,0.19649007050251086,440653.8333333333,25077.651545035947,0.7826946264788317,17.571574935634654,0.43580383894434366
8930e1c98d3ffff,37.426060540445626,127.08519034940917,41131640,고등동,수정구,0.004734422289132929,0.563307274067727,0.0034386463829846462,0.6906974889051272,0.24694815124964348,0.24694815124964348,0.3957673708183554,0.0083493668405293,0.004734422289132929,0.31715375423536823,0.0083493668405293,8930e1c98d3ffff,고등동,수정구,41131640,0.24694815124964348,LOW,C,11,22.0,0.3957673708183554,0.004734422289132929,0.563307274067727,0.0034386463829846462,0.6906974889051272,0.1120858643261128,0.0886782186036037,218377.33333333334,17735.681227537825,0.5631398843293168,12.312881052139309,0.33827617654198167
8930e1c9db7ffff,37.45408033079634,127.10064850699098,41131630,신촌동,수정구,0.0,0.21084263076697843,0.0,0.8108944918575417,0.17434483147037586,0.17434483147037586,0.07930438007358265,8.232773197673476e-05,0.0,0.29818986059106567,8.232773197673476e-05,8930e1c9db7ffff,신촌동,수정구,41131630,0.17434483147037586,LOW,D,3,6.0,0.07930438007358265,0.0,0.21084263076697843,0.0,0.8108944918575417,0.0,0.005780878911658081,39817.0,7996.434078244574,0.28094542339066475,4.979344494107412,0.11697996858645057
8930e024983ffff,37.3473529524288,127.12048375260794,41135665,구미1동,분당구,0.13578248843264104,0.7309825560957123,0.08591696635447886,0.6007368125922509,0.34185927345280975,0.34185927345280975,0.5658715412534705,0.1835650040541521,0.13578248843264104,0.49514692937605675,0.1835650040541521,8930e024983ffff,구미1동,분당구,41135665,0.34185927345280975,MEDIUM,B,29,57.99999999999999,0.5658715412534705,0.13578248843264104,0.7309825560957123,0.08591696635447886,0.6007368125922509,0.32941773857092327,0.33392487646154834,550131.3333333334,155221.90607157748,0.6973860753274006,3.5441604040067083,0.4688519830972249
8930e1531cbffff,37.38491587515418,127.13937845216347,41135580,서현1동,분당구,0.24316358695664442,1.0,0.15687363990804848,0.5902633650522128,0.46286517016966955,0.46286517016966955,1.0,0.1579767405001072,0.24316358695664442,0.44758005471420387,0.1579767405001072,8930e1531cbffff,서현1동,분당구,41135580,0.46286517016966955,HIGH,A,42,84.0,1.0,0.24316358695664442,1.0,0.15687363990804848,0.5902633650522128,1.0,0.7882228166081148,2005009.9166666667,267878.4472181212,0.9351769011355311,7.484775044384509,0.881655226086415
