YY,MT,DE,ROAD_KIND,ROAD_KIND_CD,ROUTE_NM,ROUTE_CD,UPNDW_DIV,UPNDW_CD,BGPT_LOC,LASTSTOP_LOC,TM01_SPEED,TM02_SPEED,TM03_SPEED,TM04_SPEED,TM05_SPEED,TM06_SPEED,TM07_SPEED,TM08_SPEED,TM09_SPEED,TM10_SPEED,TM11_SPEED,TM12_SPEED,TM13_SPEED,TM14_SPEED,TM15_SPEED,TM16_SPEED,TM17_SPEED,TM18_SPEED,TM19_SPEED,TM20_SPEED,TM21_SPEED,TM22_SPEED,TM23_SPEED,TM24_SPEED,DAY1_AVG_SPEED,source_total_count
2026,03,16,고속국도,1,경부고속도로,1,상행,1,북천안IC,입장휴게소,98,96,96,93,93,96,93,95,95,94,93,89,92,91,0,0,0,0,0,0,0,0,0,0,93,385467
2026,03,16,고속국도,1,경부고속도로,1,하행,2,북천안IC,망향휴게소,97,93,94,94,94,94,90,92,90,89,88,83,88,90,0,0,0,0,0,0,0,0,0,0,89,385467
2026,03,16,고속국도,1,경부고속도로,1,상행,1,천안IC,북천안IC,98,97,96,93,95,95,93,88,81,92,94,92,93,90,0,0,0,0,0,0,0,0,0,0,91,385467
2026,03,16,고속국도,1,경부고속도로,1,하행,2,망향휴게소,천안IC,90,90,92,89,90,92,87,89,89,85,86,86,90,87,0,0,0,0,0,0,0,0,0,0,88,385467
2026,03,16,고속국도,1,경부고속도로,1,상행,1,달래네고개,양재IC,96,96,96,93,93,94,51,19,22,24,25,33,77,38,0,0,0,0,0,0,0,0,0,0,47,385467
2026,03,16,고속국도,1,경부고속도로,1,하행,2,반포IC,서초IC,77,78,78,78,77,72,47,38,34,39,47,51,47,52,0,0,0,0,0,0,0,0,0,0,50,385467
2026,03,16,고속국도,1,경부고속도로,1,하행,2,잠원IC,반포IC,78,78,78,78,78,76,34,13,10,14,16,16,25,24,0,0,0,0,0,0,0,0,0,0,27,385467
2026,03,16,일반국도,2,일반국도1호선,1,하행,2,동수원사거리,터미널사거리,22,20,21,22,22,21,25,18,20,20,21,24,24,23,0,0,0,0,0,0,0,0,0,0,22,385467
2026,03,16,일반국도,2,일반국도1호선,1,상행,1,터미널사거리,동수원사거리,25,23,24,25,25,26,22,22,13,15,18,22,22,19,0,0,0,0,0,0,0,0,0,0,20,385467
2026,03,16,일반국도,2,일반국도1호선,1,하행,2,대자삼거리,동산삼거리,33,36,36,34,34,33,28,27,24,26,29,28,28,27,0,0,0,0,0,0,0,0,0,0,28,385467
2026,03,16,일반국도,2,일반국도1호선,1,하행,2,동산삼거리,구파발사거리,40,37,41,35,36,39,30,22,13,16,16,17,19,22,0,0,0,0,0,0,0,0,0,0,22,385467
2026,03,16,일반국도,2,일반국도1호선,1,상행,1,구파발사거리,동산삼거리,37,34,43,34,31,40,38,31,28,29,27,29,28,29,0,0,0,0,0,0,0,0,0,0,30,385467
2026,03,16,일반국도,2,일반국도1호선,1,상행,1,동산삼거리,대자삼거리,26,31,31,31,32,32,28,25,21,27,26,26,26,26,0,0,0,0,0,0,0,0,0,0,26,385467
2026,03,16,일반국도,2,일반국도1호선,1,상행,1,임진강역앞,판문점,35,39,40,40,39,39,40,39,45,41,39,38,36,43,0,0,0,0,0,0,0,0,0,0,40,385467
2026,03,16,일반국도,2,일반국도1호선,1,하행,2,판문점,임진강역앞,42,41,41,40,42,41,42,42,40,42,40,40,32,34,0,0,0,0,0,0,0,0,0,0,38,385467
2026,03,16,일반국도,2,일반국도1호선,1,상행,1,여우고개사거리,자유IC,49,47,50,48,47,45,48,49,50,48,46,44,46,46,0,0,0,0,0,0,0,0,0,0,47,385467
2026,03,16,일반국도,2,일반국도1호선,1,하행,2,자유IC,여우고개사거리,47,50,48,48,47,48,50,43,41,41,46,42,44,43,0,0,0,0,0,0,0,0,0,0,44,385467
2026,03,16,일반국도,2,일반국도1호선,1,하행,2,기아대교앞,안양육교삼거리,28,30,32,35,34,28,26,22,19,25,26,27,28,24,0,0,0,0,0,0,0,0,0,0,26,385467
2026,03,16,일반국도,2,일반국도1호선,1,상행,1,안양육교삼거리,기아대교앞,31,31,34,35,32,28,16,10,8,10,15,17,19,18,0,0,0,0,0,0,0,0,0,0,18,385467
2026,03,16,일반국도,2,일반국도1호선,1,하행,2,통일대교,자유IC,33,37,38,33,34,40,36,39,38,39,44,44,43,42,0,0,0,0,0,0,0,0,0,0,41,385467
2026,03,16,일반국도,2,일반국도1호선,1,상행,1,자유IC,통일대교,37,36,37,34,34,35,38,39,43,36,38,39,42,40,0,0,0,0,0,0,0,0,0,0,39,385467
2026,03,16,일반국도,2,일반국도1호선,1,하행,2,구산역,성산대교,26,28,30,30,29,30,25,16,14,16,21,23,24,23,0,0,0,0,0,0,0,0,0,0,22,385467
2026,03,16,일반국도,2,일반국도1호선,1,상행,1,성산대교,구산역,29,32,34,34,32,34,28,26,20,20,21,21,22,21,0,0,0,0,0,0,0,0,0,0,23,385467
2026,03,16,일반국도,2,일반국도1호선,1,상행,1,진위역삼거리,원동사거리,30,30,35,33,32,31,26,24,22,24,24,24,25,22,0,0,0,0,0,0,0,0,0,0,25,385467
2026,03,16,일반국도,2,일반국도1호선,1,하행,2,원동사거리,진위역삼거리,37,38,36,38,39,33,25,17,15,25,26,23,29,26,0,0,0,0,0,0,0,0,0,0,26,385467
2026,03,16,고속국도,1,수도권제1순환고속도로,100,상행,1,판교JC,성남IC,88,88,86,86,87,86,80,77,80,79,76,80,83,84,0,0,0,0,0,0,0,0,0,0,82,385467
2026,03,16,고속국도,1,수도권제1순환고속도로,100,하행,2,안현JC,시흥T/G,88,88,82,82,85,86,84,77,68,84,73,80,81,83,0,0,0,0,0,0,0,0,0,0,80,385467
2026,03,16,고속국도,1,수도권제1순환고속도로,100,상행,1,시흥T/G,안현JC,92,89,87,88,88,75,31,33,30,45,76,81,79,80,0,0,0,0,0,0,0,0,0,0,69,385467
2026,03,16,고속국도,1,수도권제1순환고속도로,100,하행,2,계양IC,노오지JC,88,88,85,84,83,69,27,44,70,60,64,69,81,80,0,0,0,0,0,0,0,0,0,0,70,385467
2026,03,16,고속국도,1,수도권제1순환고속도로,100,하행,2,노오지JC,김포T/G,89,88,86,84,82,81,78,63,43,65,61,72,76,77,0,0,0,0,0,0,0,0,0,0,71,385467
2026,03,16,고속국도,1,수도권제1순환고속도로,100,상행,1,김포T/G,노오지JC,87,85,86,83,84,81,78,75,73,72,73,76,75,72,0,0,0,0,0,0,0,0,0,0,75,385467
2026,03,16,고속국도,1,수도권제1순환고속도로,100,하행,2,일산IC,고양IC,94,93,94,92,93,95,93,90,92,88,87,90,91,92,0,0,0,0,0,0,0,0,0,0,91,385467
2026,03,16,고속국도,1,수도권제1순환고속도로,100,하행,2,고양IC,통일로IC,98,93,94,92,92,95,90,84,87,87,82,43,90,89,0,0,0,0,0,0,0,0,0,0,83,385467
2026,03,16,고속국도,1,수도권제1순환고속도로,100,하행,2,통일로IC,양주영업소,92,91,90,89,90,91,87,73,80,78,85,69,89,89,0,0,0,0,0,0,0,0,0,0,84,385467
2026,03,16,고속국도,1,수도권제1순환고속도로,100,하행,2,양주영업소,송추IC,93,92,92,91,91,91,88,78,77,75,82,84,88,89,0,0,0,0,0,0,0,0,0,0,85,385467
2026,03,16,고속국도,1,수도권제1순환고속도로,100,하행,2,송추IC,의정부IC,94,93,92,92,92,91,90,84,81,80,82,85,88,89,0,0,0,0,0,0,0,0,0,0,87,385467
2026,03,16,고속국도,1,수도권제1순환고속도로,100,하행,2,의정부IC,별내IC,95,94,94,92,95,95,87,76,70,78,81,86,89,90,0,0,0,0,0,0,0,0,0,0,86,385467
2026,03,16,고속국도,1,수도권제1순환고속도로,100,하행,2,별내IC,퇴계원IC,91,89,89,88,91,92,87,84,82,84,83,84,88,89,0,0,0,0,0,0,0,0,0,0,87,385467
2026,03,16,고속국도,1,수도권제1순환고속도로,100,상행,1,퇴계원IC,별내IC,90,89,88,86,87,87,88,88,85,86,86,87,88,87,0,0,0,0,0,0,0,0,0,0,87,385467
2026,03,16,고속국도,1,수도권제1순환고속도로,100,상행,1,구리T/G,남양주IC,91,85,86,85,83,83,82,83,77,81,83,82,75,78,0,0,0,0,0,0,0,0,0,0,80,385467
2026,03,16,고속국도,1,수도권제1순환고속도로,100,상행,1,토평IC,구리T/G,95,95,95,95,95,95,95,95,95,95,95,95,95,95,0,0,0,0,0,0,0,0,0,0,95,385467
2026,03,16,고속국도,1,수도권제1순환고속도로,100,상행,1,별내IC,의정부IC,95,95,93,93,94,94,93,87,73,86,88,91,89,90,0,0,0,0,0,0,0,0,0,0,89,385467
2026,03,16,고속국도,1,수도권제1순환고속도로,100,상행,1,의정부IC,송추IC,91,91,88,89,89,90,83,58,47,65,79,84,84,84,0,0,0,0,0,0,0,0,0,0,78,385467
2026,03,16,고속국도,1,수도권제1순환고속도로,100,상행,1,송추IC,양주영업소,94,94,92,93,92,92,90,77,79,77,88,89,91,89,0,0,0,0,0,0,0,0,0,0,87,385467
2026,03,16,고속국도,1,수도권제1순환고속도로,100,상행,1,양주영업소,통일로IC,95,94,93,91,93,95,94,90,90,88,91,93,94,92,0,0,0,0,0,0,0,0,0,0,92,385467
2026,03,16,고속국도,1,수도권제1순환고속도로,100,상행,1,통일로IC,고양IC,99,99,96,95,94,97,94,93,92,68,60,94,95,93,0,0,0,0,0,0,0,0,0,0,88,385467
2026,03,16,고속국도,1,수도권제1순환고속도로,100,상행,1,고양IC,일산IC,94,93,92,93,93,93,92,91,90,91,88,92,92,92,0,0,0,0,0,0,0,0,0,0,92,385467
2026,03,16,고속국도,1,수도권제1순환고속도로,100,상행,1,성남T/G,송파IC,94,93,92,90,90,95,87,76,67,86,83,87,89,91,0,0,0,0,0,0,0,0,0,0,87,385467
2026,03,16,고속국도,1,수도권제1순환고속도로,100,하행,2,송파IC,성남T/G,92,89,90,90,92,91,59,55,58,62,79,85,88,89,0,0,0,0,0,0,0,0,0,0,80,385467
2026,03,16,고속국도,1,수도권제1순환고속도로,100,하행,2,성남T/G,성남IC,86,85,83,87,85,82,74,65,69,72,71,75,79,79,0,0,0,0,0,0,0,0,0,0,76,385467
