month,admi_nm,tot_cnt,inc_per_cap,card_per_cap,age3040_ratio,econ_ratio,stay2yr_ratio
202506,하대원동,16019,345.90798426868093,187.10905799363258,0.31443910356451715,0.9404457207066609,0.7158998689056745
202507,고등동,10132,443.2293722858271,276.99368337939205,0.47433872878010264,0.9612120015791552,0.5617844453217529
202507,구미1동,37976,440.96534653465346,251.400884769328,0.35377606909627135,0.9411207078154624,0.6617600589846219
202507,구미동,37353,442.21615399030867,252.4188150884802,0.35445613471474846,0.9412363130136803,0.6623028940111906
202507,금곡동,23225,466.0581270182993,266.04090419806244,0.35913885898815934,0.9328310010764262,0.6746609257265878
202507,금광1동,35151,348.448123808711,184.39304713948394,0.386134107137777,0.9400870529999147,0.5792153850530568
202507,금광2동,35151,348.448123808711,184.39304713948394,0.386134107137777,0.9400870529999147,0.5792153850530568
202507,단대동,11952,346.1178045515395,179.50133868808567,0.330739625167336,0.9334839357429718,0.7074129852744311
202507,도촌동,21286,401.32481443202107,213.13539415578313,0.3753640890726299,0.9502489899464437,0.7144132293526262
202507,백현동,26099,522.6598720257481,317.3071765201732,0.371546802559485,0.9470860952526917,0.6860032951454079
202507,복정동,11077,339.13514489482714,165.0537149047576,0.3564141915681141,0.9011465198158346,0.5018506815924889
202507,분당동,19954,443.2444622632054,244.62764358023455,0.3392302295279142,0.9428184825097725,0.689886739500852
202507,산성동,4220,295.8056872037915,146.4218009478673,0.2843601895734597,0.8985781990521327,0.6272511848341232
202507,삼평동,21339,519.6963306621678,287.5673649186935,0.42968274052204886,0.9514503959885655,0.6554196541543652
202507,상대원1동,34763,311.0404740672554,152.62491729712625,0.3137531283260938,0.9153122572850444,0.6472686477001409
202507,상대원2동,34763,311.0404740672554,152.62491729712625,0.3137531283260938,0.9153122572850444,0.6472686477001409
202507,상대원3동,34763,311.0404740672554,152.62491729712625,0.3137531283260938,0.9153122572850444,0.6472686477001409
202507,서현1동,40382,484.9759793967609,276.83869050567085,0.3618939131296122,0.9427962953791293,0.6714625328116488
202507,서현2동,39486,486.79278731702374,277.90609329889077,0.35906397204072327,0.9423593172263587,0.6780377855442435
202507,성남동,28423,329.8138831228231,171.6321289096858,0.35140555184181826,0.9295640854237766,0.6233332160574183
202507,수내1동,33603,530.833556527691,311.10317531172814,0.3778531678719162,0.9375055798589411,0.669166443472309
202507,수내2동,33603,530.833556527691,311.10317531172814,0.3778531678719162,0.9375055798589411,0.669166443472309
202507,수내3동,33603,530.833556527691,311.10317531172814,0.3778531678719162,0.9375055798589411,0.669166443472309
202507,수진1동,27927,306.9645862427042,133.8704479535933,0.27084899917642424,0.8798653632685215,0.670891968346045
202507,수진2동,27927,306.9645862427042,133.8704479535933,0.27084899917642424,0.8798653632685215,0.670891968346045
202507,시흥동,3656,435.33916849015316,287.171772428884,0.44693654266958427,0.9488512035010941,0.4349015317286652
202507,신촌동,3122,378.8276745675849,219.63484945547725,0.36995515695067266,0.9003843689942345,0.5083279948750801
202507,신흥1동,45585,361.5794669299112,185.14204233848855,0.3588241746188439,0.9306789514094549,0.5539980256663376
202507,신흥2동,45585,361.5794669299112,185.14204233848855,0.3588241746188439,0.9306789514094549,0.5539980256663376
202507,신흥3동,45585,361.5794669299112,185.14204233848855,0.3588241746188439,0.9306789514094549,0.5539980256663376
202507,야탑1동,49879,414.96621824816054,213.94574871188274,0.3595701597866838,0.9422402213356322,0.6862607510174623
202507,야탑2동,49879,414.96621824816054,213.94574871188274,0.3595701597866838,0.9422402213356322,0.6862607510174623
202507,야탑3동,49879,414.96621824816054,213.94574871188274,0.3595701597866838,0.9422402213356322,0.6862607510174623
202507,양지동,7517,311.61367566848475,155.0352534255687,0.26127444459225757,0.9241718770786218,0.7127843554609552
202507,운중동,28386,555.9606848446417,340.92158106108644,0.43761008948072994,0.9556823786373564,0.5886000140914536
202507,위례동,47993,434.86133394453356,238.86191736294876,0.4091638363928073,0.9388244118934012,0.5899610359844144
