scenario_id,scenario_label_kr,airspace_mode,lot_id,lot_name,lat,lon,site_GU_NM,site_ADM_NM,selected_order,assigned_Ds_sum,coverage_cell_count,route_feasibility,approval_required_routes,candidate_score,hub_explanation
S007,공역+장애물+소음 (승인허용),approval_required_allowed,205-2-000001,대원천,37.42891,127.12015,중원구,성남동,4,16.9492,60,0.85268,60,0.54402,RFI=0.792 | Ds=16.95 | 60셀 | RFI순위#4 | 경로타당성85%
S007,공역+장애물+소음 (승인허용),approval_required_allowed,205-2-000002,성남동 대형,37.42891,127.12012,중원구,성남동,5,16.9492,60,0.85249,60,0.58517,RFI=0.791 | Ds=16.95 | 60셀 | RFI순위#5 | 경로타당성85%
S007,공역+장애물+소음 (승인허용),approval_required_allowed,205-1-000066,모란5,37.42951,127.12549,중원구,성남동,6,17.0351,58,0.80077,58,0.43353,RFI=0.777 | Ds=17.04 | 58셀 | RFI순위#6 | 경로타당성80%
S008,공역+장애물+소음 (엄격제외),strict_exclusion,206-3-000007,구미도서관,37.34553,127.10769,분당구,구미1동,1,15.6729,48,0.7626,0,0.48579,RFI=0.712 | Ds=15.67 | 48셀 | RFI순위#1 | 경로타당성76%
S008,공역+장애물+소음 (엄격제외),strict_exclusion,206-2-000009,금곡동,37.35086,127.10686,분당구,금곡동,2,20.0309,57,0.69945,0,0.50197,RFI=0.600 | Ds=20.03 | 57셀 | RFI순위#2 | 경로타당성70%
S008,공역+장애물+소음 (엄격제외),strict_exclusion,206-2-000008,오리환승,37.33971,127.10941,분당구,구미동,3,11.2593,36,0.78196,0,0.51049,RFI=0.509 | Ds=11.26 | 36셀 | RFI순위#3 | 경로타당성78%
S008,공역+장애물+소음 (엄격제외),strict_exclusion,206-3-000004,분당도서관 부설주차장,37.3581,127.11658,분당구,정자3동,4,11.4814,36,0.7302,0,0.55042,RFI=0.294 | Ds=11.48 | 36셀 | RFI순위#4 | 경로타당성73%
S008,공역+장애물+소음 (엄격제외),strict_exclusion,206-2-000006,정자전원마을,37.35922,127.12451,분당구,정자3동,5,9.3937,31,0.71936,0,0.535,RFI=0.168 | Ds=9.39 | 31셀 | RFI순위#5 | 경로타당성72%
S008,공역+장애물+소음 (엄격제외),strict_exclusion,205-2-000028,해오름,37.44109,127.15909,중원구,금광1동,6,0.0,0,0.5,0,0.50109,RFI=0.000 | Ds=0.00 | 0셀 | RFI순위#6 | 경로타당성50%
S009,공역+장애물+로봇접근+기상 (승인허용),approval_required_allowed,206-3-000001,분당구청 부설주차장,37.38262,127.11896,분당구,수내1동,1,19.13,58,0.82629,58,0.69271,RFI=0.871 | Ds=19.13 | 58셀 | RFI순위#1 | 경로타당성83%
S009,공역+장애물+로봇접근+기상 (승인허용),approval_required_allowed,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,분당구,백현동,2,21.8958,60,0.78124,60,0.61974,RFI=0.846 | Ds=21.90 | 60셀 | RFI순위#2 | 경로타당성78%
S009,공역+장애물+로봇접근+기상 (승인허용),approval_required_allowed,206-2-000011,수내역환승,37.37928,127.11886,분당구,수내1동,3,19.2378,60,0.7752,60,0.69279,RFI=0.816 | Ds=19.24 | 60셀 | RFI순위#3 | 경로타당성78%
S009,공역+장애물+로봇접근+기상 (승인허용),approval_required_allowed,206-2-000007,정자역환승,37.36575,127.10733,분당구,정자1동,4,17.6596,58,0.78547,58,0.59838,RFI=0.771 | Ds=17.66 | 58셀 | RFI순위#4 | 경로타당성79%
S009,공역+장애물+로봇접근+기상 (승인허용),approval_required_allowed,205-2-000001,대원천,37.42891,127.12015,중원구,성남동,5,14.6337,60,0.85268,60,0.54402,RFI=0.770 | Ds=14.63 | 60셀 | RFI순위#5 | 경로타당성85%
S009,공역+장애물+로봇접근+기상 (승인허용),approval_required_allowed,205-2-000002,성남동 대형,37.42891,127.12012,중원구,성남동,6,14.6337,60,0.85249,60,0.58517,RFI=0.769 | Ds=14.63 | 60셀 | RFI순위#6 | 경로타당성85%
S010,공역+장애물+로봇접근+기상 (엄격제외),strict_exclusion,206-3-000007,구미도서관,37.34553,127.10769,분당구,구미1동,1,13.8386,48,0.7626,0,0.48579,RFI=0.720 | Ds=13.84 | 48셀 | RFI순위#1 | 경로타당성76%
S010,공역+장애물+로봇접근+기상 (엄격제외),strict_exclusion,206-2-000009,금곡동,37.35086,127.10686,분당구,금곡동,2,17.7553,57,0.69945,0,0.50197,RFI=0.600 | Ds=17.76 | 57셀 | RFI순위#2 | 경로타당성70%
S010,공역+장애물+로봇접근+기상 (엄격제외),strict_exclusion,206-2-000008,오리환승,37.33971,127.10941,분당구,구미동,3,9.9369,36,0.78196,0,0.51049,RFI=0.470 | Ds=9.94 | 36셀 | RFI순위#3 | 경로타당성78%
S010,공역+장애물+로봇접근+기상 (엄격제외),strict_exclusion,206-3-000004,분당도서관 부설주차장,37.3581,127.11658,분당구,정자3동,4,10.1704,36,0.7302,0,0.55042,RFI=0.300 | Ds=10.17 | 36셀 | RFI순위#4 | 경로타당성73%
S010,공역+장애물+로봇접근+기상 (엄격제외),strict_exclusion,206-2-000006,정자전원마을,37.35922,127.12451,분당구,정자3동,5,8.3845,31,0.71936,0,0.535,RFI=0.173 | Ds=8.38 | 31셀 | RFI순위#5 | 경로타당성72%
S010,공역+장애물+로봇접근+기상 (엄격제외),strict_exclusion,205-2-000028,해오름,37.44109,127.15909,중원구,금광1동,6,0.0,0,0.5,0,0.50109,RFI=0.000 | Ds=0.00 | 0셀 | RFI순위#6 | 경로타당성50%
S011,공역+장애물+로봇접근 (승인허용),approval_required_allowed,206-3-000001,분당구청 부설주차장,37.38262,127.11896,분당구,수내1동,1,19.4633,58,0.82629,58,0.69271,RFI=0.871 | Ds=19.46 | 58셀 | RFI순위#1 | 경로타당성83%
S011,공역+장애물+로봇접근 (승인허용),approval_required_allowed,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,분당구,백현동,2,22.257,60,0.78124,60,0.61974,RFI=0.846 | Ds=22.26 | 60셀 | RFI순위#2 | 경로타당성78%
S011,공역+장애물+로봇접근 (승인허용),approval_required_allowed,206-2-000011,수내역환승,37.37928,127.11886,분당구,수내1동,3,19.571,60,0.7752,60,0.69279,RFI=0.817 | Ds=19.57 | 60셀 | RFI순위#3 | 경로타당성78%
S011,공역+장애물+로봇접근 (승인허용),approval_required_allowed,206-2-000007,정자역환승,37.36575,127.10733,분당구,정자1동,4,17.9495,58,0.78547,58,0.59838,RFI=0.771 | Ds=17.95 | 58셀 | RFI순위#4 | 경로타당성79%
S011,공역+장애물+로봇접근 (승인허용),approval_required_allowed,205-2-000001,대원천,37.42891,127.12015,중원구,성남동,5,14.8738,60,0.85268,60,0.54402,RFI=0.770 | Ds=14.87 | 60셀 | RFI순위#5 | 경로타당성85%
S011,공역+장애물+로봇접근 (승인허용),approval_required_allowed,205-2-000002,성남동 대형,37.42891,127.12012,중원구,성남동,6,14.8738,60,0.85249,60,0.58517,RFI=0.769 | Ds=14.87 | 60셀 | RFI순위#6 | 경로타당성85%
S012,공역+장애물+로봇접근 (엄격제외),strict_exclusion,206-3-000007,구미도서관,37.34553,127.10769,분당구,구미1동,1,14.0354,48,0.7626,0,0.48579,RFI=0.720 | Ds=14.04 | 48셀 | RFI순위#1 | 경로타당성76%
S012,공역+장애물+로봇접근 (엄격제외),strict_exclusion,206-2-000009,금곡동,37.35086,127.10686,분당구,금곡동,2,18.0036,57,0.69945,0,0.50197,RFI=0.600 | Ds=18.00 | 57셀 | RFI순위#2 | 경로타당성70%
S012,공역+장애물+로봇접근 (엄격제외),strict_exclusion,206-2-000008,오리환승,37.33971,127.10941,분당구,구미동,3,10.0785,36,0.78196,0,0.51049,RFI=0.471 | Ds=10.08 | 36셀 | RFI순위#3 | 경로타당성78%
S012,공역+장애물+로봇접근 (엄격제외),strict_exclusion,206-3-000004,분당도서관 부설주차장,37.3581,127.11658,분당구,정자3동,4,10.3176,36,0.7302,0,0.55042,RFI=0.300 | Ds=10.32 | 36셀 | RFI순위#4 | 경로타당성73%
S012,공역+장애물+로봇접근 (엄격제외),strict_exclusion,206-2-000006,정자전원마을,37.35922,127.12451,분당구,정자3동,5,8.4973,31,0.71936,0,0.535,RFI=0.174 | Ds=8.50 | 31셀 | RFI순위#5 | 경로타당성72%
S012,공역+장애물+로봇접근 (엄격제외),strict_exclusion,205-2-000028,해오름,37.44109,127.15909,중원구,금광1동,6,0.0,0,0.5,0,0.50109,RFI=0.000 | Ds=0.00 | 0셀 | RFI순위#6 | 경로타당성50%
S013,공역+장애물+기상 (승인허용),approval_required_allowed,206-3-000001,분당구청 부설주차장,37.38262,127.11896,분당구,수내1동,1,21.0956,58,0.82629,58,0.69271,RFI=0.870 | Ds=21.10 | 58셀 | RFI순위#1 | 경로타당성83%
S013,공역+장애물+기상 (승인허용),approval_required_allowed,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,분당구,백현동,2,23.9691,60,0.78124,60,0.61974,RFI=0.859 | Ds=23.97 | 60셀 | RFI순위#2 | 경로타당성78%
S013,공역+장애물+기상 (승인허용),approval_required_allowed,206-2-000011,수내역환승,37.37928,127.11886,분당구,수내1동,3,21.1348,60,0.7752,60,0.69279,RFI=0.806 | Ds=21.13 | 60셀 | RFI순위#3 | 경로타당성78%
S013,공역+장애물+기상 (승인허용),approval_required_allowed,205-2-000001,대원천,37.42891,127.12015,중원구,성남동,4,17.3469,60,0.85268,60,0.54402,RFI=0.786 | Ds=17.35 | 60셀 | RFI순위#4 | 경로타당성85%
S013,공역+장애물+기상 (승인허용),approval_required_allowed,205-1-000066,모란5,37.42951,127.12549,중원구,성남동,5,17.8754,58,0.80077,58,0.43353,RFI=0.786 | Ds=17.88 | 58셀 | RFI순위#5 | 경로타당성80%
S013,공역+장애물+기상 (승인허용),approval_required_allowed,205-2-000002,성남동 대형,37.42891,127.12012,중원구,성남동,6,17.3469,60,0.85249,60,0.58517,RFI=0.785 | Ds=17.35 | 60셀 | RFI순위#6 | 경로타당성85%
S014,공역+장애물+기상 (엄격제외),strict_exclusion,206-3-000007,구미도서관,37.34553,127.10769,분당구,구미1동,1,15.8557,48,0.7626,0,0.48579,RFI=0.722 | Ds=15.86 | 48셀 | RFI순위#1 | 경로타당성76%
S014,공역+장애물+기상 (엄격제외),strict_exclusion,206-2-000009,금곡동,37.35086,127.10686,분당구,금곡동,2,20.2643,57,0.69945,0,0.50197,RFI=0.600 | Ds=20.26 | 57셀 | RFI순위#2 | 경로타당성70%
S014,공역+장애물+기상 (엄격제외),strict_exclusion,206-2-000008,오리환승,37.33971,127.10941,분당구,구미동,3,11.3995,36,0.78196,0,0.51049,RFI=0.506 | Ds=11.40 | 36셀 | RFI순위#3 | 경로타당성78%
S014,공역+장애물+기상 (엄격제외),strict_exclusion,206-3-000004,분당도서관 부설주차장,37.3581,127.11658,분당구,정자3동,4,11.6242,36,0.7302,0,0.55042,RFI=0.296 | Ds=11.62 | 36셀 | RFI순위#4 | 경로타당성73%
S014,공역+장애물+기상 (엄격제외),strict_exclusion,206-2-000006,정자전원마을,37.35922,127.12451,분당구,정자3동,5,9.5696,31,0.71936,0,0.535,RFI=0.184 | Ds=9.57 | 31셀 | RFI순위#5 | 경로타당성72%
S014,공역+장애물+기상 (엄격제외),strict_exclusion,205-2-000028,해오름,37.44109,127.15909,중원구,금광1동,6,0.0,0,0.5,0,0.50109,RFI=0.000 | Ds=0.00 | 0셀 | RFI순위#6 | 경로타당성50%
S015,공역+장애물 (승인허용),approval_required_allowed,206-3-000001,분당구청 부설주차장,37.38262,127.11896,분당구,수내1동,1,21.4288,58,0.82629,58,0.69271,RFI=0.870 | Ds=21.43 | 58셀 | RFI순위#1 | 경로타당성83%
S015,공역+장애물 (승인허용),approval_required_allowed,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,분당구,백현동,2,24.3304,60,0.78124,60,0.61974,RFI=0.859 | Ds=24.33 | 60셀 | RFI순위#2 | 경로타당성78%
S015,공역+장애물 (승인허용),approval_required_allowed,206-2-000011,수내역환승,37.37928,127.11886,분당구,수내1동,3,21.4683,60,0.7752,60,0.69279,RFI=0.807 | Ds=21.47 | 60셀 | RFI순위#3 | 경로타당성78%
S015,공역+장애물 (승인허용),approval_required_allowed,205-2-000001,대원천,37.42891,127.12015,중원구,성남동,4,17.5862,60,0.85268,60,0.54402,RFI=0.786 | Ds=17.59 | 60셀 | RFI순위#4 | 경로타당성85%
S015,공역+장애물 (승인허용),approval_required_allowed,205-1-000066,모란5,37.42951,127.12549,중원구,성남동,5,18.1235,58,0.80077,58,0.43353,RFI=0.786 | Ds=18.12 | 58셀 | RFI순위#5 | 경로타당성80%
S015,공역+장애물 (승인허용),approval_required_allowed,205-2-000002,성남동 대형,37.42891,127.12012,중원구,성남동,6,17.5862,60,0.85249,60,0.58517,RFI=0.785 | Ds=17.59 | 60셀 | RFI순위#6 | 경로타당성85%
S016,공역+장애물 (엄격제외),strict_exclusion,206-3-000007,구미도서관,37.34553,127.10769,분당구,구미1동,1,16.052,48,0.7626,0,0.48579,RFI=0.722 | Ds=16.05 | 48셀 | RFI순위#1 | 경로타당성76%
