ADM_NM,GU_NM,robot_index_100,connectivity_index,passable_ratio,slope_ratio,blind_ratio,delivery_density
상대원1동,중원구,60.46,0.32160804020100503,0.9493140164101445,0.03163631529974744,0.036155788913997074,0.09982719659710222
상대원2동,중원구,60.25,0.3076923076923077,0.9514009311768423,0.03163631529974744,0.036155788913997074,0.09982719659710222
정자3동,분당구,59.96,0.3402061855670103,0.75639347453996,0.0033624747814391394,0.0242098184263618,0.09347679892400806
태평2동,수정구,59.89,0.1111111111111111,1.0,0.000883489784649365,0.012147984538928768,0.0992821645499724
위례동,수정구,59.87,0.775623268698061,0.6952631953822255,0.005890603085553997,0.08387096774193549,0.10603085553997195
수진1동,수정구,59.73,0.22727272727272727,0.9177508592598482,0.003767598651596272,0.009518143961927425,0.08189569700575054
수내2동,분당구,58.93,0.40816326530612246,0.5645230564717256,0.0,0.08656716417910448,0.12835820895522387
태평3동,수정구,58.28,0.07407407407407407,1.0,0.000883489784649365,0.012147984538928768,0.0992821645499724
복정동,수정구,56.93,0.72,0.5776880928287509,0.005904828065300452,0.10003473428273706,0.10177144841959014
이매2동,분당구,56.87,0.6410256410256411,0.776811939986925,0.07330006238303181,0.17732376793512164,0.13849033063006863
이매1동,분당구,56.44,0.6349206349206349,0.866393617834949,0.0912280701754386,0.2554385964912281,0.15929824561403508
정자2동,분당구,56.29,0.22727272727272727,0.7618289727434071,0.0033624747814391394,0.0242098184263618,0.09347679892400806
분당동,분당구,56.1,0.6341463414634146,0.8002295360564364,0.06893004115226338,0.13168724279835392,0.029835390946502057
금곡동,분당구,55.2,0.12021857923497267,0.8573219744212512,0.02405857740585774,0.223326359832636,0.21338912133891214
고등동,수정구,54.19,0.5703125,0.787403838061368,0.06601633393829401,0.1721869328493648,0.09460072595281306
서현1동,분당구,53.9,0.7087719298245614,0.8641462523368525,0.140993265993266,0.2680976430976431,0.12836700336700338
상대원3동,중원구,53.0,0.0,1.0,0.03163631529974744,0.036155788913997074,0.09982719659710222
정자동,분당구,52.34,0.2569444444444444,0.7094069945732812,0.0033624747814391394,0.0242098184263618,0.09347679892400806
야탑3동,분당구,52.15,0.597457627118644,0.8622733276063825,0.13981042654028436,0.21184834123222748,0.12180094786729857
도촌동,중원구,50.86,0.6610169491525424,0.8445071867081309,0.11986210554229647,0.25855210819411295,0.04295942720763723
야탑1동,분당구,49.23,0.5895522388059702,0.7852212183110027,0.13981042654028436,0.21184834123222748,0.12180094786729857
운중동,분당구,47.08,0.5784313725490197,0.7880678914558206,0.11399656291770098,0.2824135955699828,0.09031888485774298
양지동,수정구,45.2,0.3333333333333333,0.7756170934524872,0.13636363636363635,0.11625874125874126,0.1791958041958042
구미1동,분당구,38.0,0.34831460674157305,0.8483579472724432,0.2037735849056604,0.32490566037735846,0.12
구미동,분당구,34.89,0.37050359712230213,0.8005002274905291,0.20577933450087565,0.2469352014010508,0.10595446584938704
야탑2동,분당구,34.09,0.47540983606557374,0.4649114318577279,0.13981042654028436,0.21184834123222748,0.12180094786729857
