lot_id,lot_name,lot_class,lot_subtype,address_road,address_jibun,lat,lon,ADM_NM,GU_NM,CSV_ADMI_CD,h3_index,nearest_h3_m,capacity_num,avg_monthly_entries,parking_candidate_score,parking_candidate_score_confidence,parking_site_score,Ds,demand_grade,delivery_zone,constraint_score,drone_score,robot_score,service_priority_score,covered_cell_count,covered_priority_cell_count,covered_priority_ratio,catchment_mean_Ds,catchment_total_Ds,catchment_max_Ds,catchment_mean_service_priority,demand_context_score,constraint_context_score,zone_score,corporate_context_score,candidate_score_primary,candidate_score_conservative,candidate_score_for_ranking,candidate_rank,candidate_percentile,candidate_grade,airspace_review_required,candidate_reason,risk_note,nb10_candidate_reason,nb10_risk_note
204-2-000027,수진 제1,공영,노외,경기도 성남시 수정구 제일로 114,None,37.436849,127.133917,수진2동,수정구,41131580,8930e15240bffff,0.0,119,2823.057142857143,0.6408,1.0,0.6408,0.3244089278797707,C,부적합,0.6914817704770899,0.5854485088235294,0.4170368543091858,0.4342983664959692,59,0.0,0.0,0.41202120990028546,24.30925138411684,0.6379810132478028,0.4686802849151965,0.5372616195043399,0.6914817704770899,0.0,0.11969360606464009,0.5270966897490235,0.5270966897490235,0.5270966897490235,21,88.3,A,False,"노외 공영주차장, 주차면수 큼, 면당 입출차 중간, 24시간 운영",-,수요는 있으나 제약/공역 리스크 있음,이상 없음
206-2-000002,야탑 제1환승,공영,노외,경기도 성남시 분당구 성남대로 920,None,37.412069,127.129173,야탑1동,분당구,41135620,8930e152643ffff,0.0,111,7050.0,0.511,1.0,0.511,0.7196853984687459,A,부적합,0.6544148683524849,0.4216918683300467,0.7267047812461198,0.616791539475676,57,0.0,0.0,0.4215299670138483,24.027208119789353,0.7196853984687459,0.47347001853124426,0.5367451024550843,0.6544148683524849,0.0,0.8676116981670075,0.5225950878557512,0.5225950878557512,0.5225950878557512,22,87.7,A,False,"노외 공영주차장, 주차면수 큼, 면당 입출차 높음, 24시간 운영",회전율 높아 포화 가능성,수요는 있으나 제약/공역 리스크 있음,이상 없음
205-2-000004,성남동 제2,공영,노외,경기도 성남시 중원구 원터로67,None,37.43258,127.142777,성남동,중원구,41133510,8930e15209bffff,0.0,251,3126.2083333333335,0.7493,1.0,0.7493,0.5129422940779669,A,부적합,0.6528473629113548,0.555915345435525,0.2396516478386427,0.4733247328052474,58,0.0,0.0,0.3694273287925038,21.42678506996522,0.6379810132478028,0.4202543723901211,0.4481191375610121,0.6528473629113548,0.0,0.27329046980358374,0.5210430623643721,0.5210430623643721,0.5210430623643721,23,87.1,A,False,"노외 공영주차장, 주차면수 큼, 면당 입출차 중간, 24시간 운영",-,수요는 있으나 제약/공역 리스크 있음,이상 없음
204-2-000011,복정 제4공영,공영,노외,경기도 성남시 수정구 복정로20번길 16,None,37.454669,127.129084,복정동,수정구,41131620,8930e1c8b53ffff,0.0,196,682.6285714285714,0.7472,1.0,0.7472,0.2465699214638441,C,부적합,0.874105636760976,0.6546494130609397,0.6990217654491403,0.4798881123198868,60,0.0,0.0,0.2903361691194687,17.420170147168122,0.6775996391710029,0.42225556263297115,0.3122799810754636,0.874105636760976,0.0,0.1002456492700706,0.5196366850301597,0.5196366850301597,0.5196366850301597,24,86.5,A,False,"노외 공영주차장, 주차면수 큼, 면당 입출차 낮음, 24시간 운영",-,"종합 점수 낮음, 추가 검토 필요",이상 없음
205-2-000033,모란제2공영주차장,공영,노외,None,경기도 성남시 중원구 성남동 4946-1,37.428054,127.12779,성남동,중원구,41133510,8930e152697ffff,0.0,100,2052.304347826087,0.6404,1.0,0.6404,0.5129422940779669,A,부적합,0.7749494043392063,0.6360067311312586,0.3566153451631804,0.5247494572636617,57,0.0,0.0,0.3663943381744323,20.88447727594264,0.5129422940779669,0.4615244471635136,0.4343362314807162,0.7749494043392063,0.0,0.27329046980358374,0.5195195555932315,0.5195195555932315,0.5195195555932315,25,86.0,A,False,"노외 공영주차장, 주차면수 큼, 면당 입출차 중간, 24시간 운영",-,수요는 있으나 제약/공역 리스크 있음,이상 없음
204-2-000034,신흥제9공영주차장,공영,노외,경기도 성남시 수정구 시민로 173,None,37.443391,127.142358,신흥1동,수정구,41131510,8930e152437ffff,0.0,177,6603.428571428572,0.6301,1.0,0.6301,0.4619442280384485,A,부적합,0.5974770675227508,0.5012038821266969,0.4549997055210363,0.474296202465853,59,0.0,0.0,0.43594514193655914,25.72076337425699,0.6775996391710029,0.45033313752763177,0.582753417286642,0.5974770675227508,0.0,0.11656240963116479,0.5166860834125706,0.5166860834125706,0.5166860834125706,26,85.4,A,False,"노외 공영주차장, 주차면수 큼, 면당 입출차 높음, 24시간 운영",회전율 높아 포화 가능성,수요는 있으나 제약/공역 리스크 있음,이상 없음
204-2-000019,태평,공영,노외,경기도 성남시 수정구 남문로52번길 9-9,None,37.445114,127.133235,태평3동,수정구,41131560,8930e1524bbffff,0.0,135,2073.4857142857145,0.6761,1.0,0.6761,0.49063680218792455,A,부적합,0.6834359992744287,0.5788501338901898,0.4036514905617211,0.5041144059584767,59,0.0,0.0,0.3861249284210078,22.781370776839463,0.6775996391710029,0.46101043529490787,0.4880193628977473,0.6834359992744287,0.0,0.10859861760584144,0.5161207077131108,0.5161207077131108,0.5161207077131108,27,84.8,A,False,"노외 공영주차장, 주차면수 큼, 면당 입출차 중간, 24시간 운영",-,수요는 있으나 제약/공역 리스크 있음,이상 없음
205-2-000035,여수동제2공영주차장,공영,노외,None,경기도 성남시 중원구 여수동 539,37.419696,127.132074,도촌동,중원구,41133670,8930e152603ffff,0.0,57,676.1142857142858,0.644,1.0,0.644,0.2853938536924451,C,부적합,0.7416956224232553,0.5858457540257803,0.31628827933289094,0.39673090393720156,58,0.0,0.0,0.3871276664734992,22.453404655462954,0.7196853984687459,0.45043115726849636,0.4813861929712683,0.7416956224232553,0.0,0.014559613591608749,0.5156370538253382,0.5156370538253382,0.5156370538253382,28,84.2,A,False,"노외 공영주차장, 주차면수 중간, 면당 입출차 중간, 24시간 운영",-,수요는 있으나 제약/공역 리스크 있음,이상 없음
204-2-000022,태평4동제3,공영,노외,경기도 성남시 수정구 남문로 112,None,37.447347,127.140558,태평4동,수정구,41131561,8930e1524a7ffff,0.0,163,5450.0,0.6345,1.0,0.6345,0.6775996391710029,A,부적합,0.6876038331468356,0.5847188119554735,0.4036514905617211,0.5903017199237112,58,0.0,0.0,0.4050609623658967,23.49353581722201,0.6775996391710029,0.44713875681328213,0.5150910837418807,0.6876038331468356,0.0,0.04031314879001912,0.5128234950358681,0.5128234950358681,0.5128234950358681,29,83.6,A,False,"노외 공영주차장, 주차면수 큼, 면당 입출차 높음, 24시간 운영",회전율 높아 포화 가능성,수요는 있으나 제약/공역 리스크 있음,이상 없음
206-2-000008,오리환승,공영,노외,경기도 성남시 분당구 구미로9번길,경기도 성남시 분당구 구미동196,37.339711,127.109411,구미동,분당구,41135670,8930e0248a3ffff,0.0,75,4029.457142857143,0.5219,1.0,0.5219,0.3326673998045227,B,드론우선,0.8396455818033494,0.9772216799071713,0.28951213721281616,0.5496303453221084,36,36.0,1.0,0.3358040011183493,12.088944040260575,0.34185927345280975,0.5326040514182022,0.22195578104918426,0.8396455818033494,0.85,0.14842518534211996,0.5104921780851578,0.5104921780851578,0.5104921780851578,30,83.0,A,False,"노외 공영주차장, 주차면수 중간, 면당 입출차 높음, 24시간 운영",회전율 높아 포화 가능성,드론우선 구역 — 추가 현장 검토 권장,수요권역 낮음
