h3_index,lat,lon,CSV_ADMI_CD,ADM_NM,GU_NM,delivery_demand_index,flow_pop_index,urgency,score_airspace,score_obstacle,score_noise,score_terrain,score_weather,composite_score,tall_bldg_count,total_bldg_count,avg_slope,terrain_zone,Hr,Fp,Cc,Od,Ds_v2,Ec,Od_v2,Ds_v3,Ra,total_walk_length,robot_walk_length,n_crossings,avg_robot_weight,score_construction,score_protected,composite_6layer,composite_v3
8930e15260bffff,37.41731502786544,127.13163345877634,41133670,도촌동,중원구,0.1258360805453779,0.2006614114125326,0.1557662128922398,0.0,0.9125,0.6794652039766882,1.0,0.8,0.0,1,188,,Unknown,0.282659445326361,0.1929170348690428,0.1258360805453779,0.1258360805453779,0.189653328560589,0.1745603382005516,0.2850510321540941,0.2120852068776988,0.5230128862208047,6712.0,3923.3,98,0.5796,1.0,0.6,0.0,0.0784519329331207
8930e1534b7ffff,37.40234138886256,127.1146408645589,41135655,삼평동,분당구,0.4465934301776538,1.0,0.6679560581065923,0.0,0.65,0.8148782996229001,1.0,0.8,0.0,4,112,,Unknown,0.184330936595387,1.0,0.4465934301776538,0.4465934301776538,0.5062663245585604,1.0,0.7124932852428824,0.6422754129708099,0.6000847968956875,20514.2,10220.4,386,0.8023,0.3,0.6,0.0,0.09001271953435312
8930e1cd66fffff,37.459237109237776,127.16142606217608,41131610,양지동,수정구,0.0413673771528296,0.0497798714423575,0.0447323748686408,0.0,0.9125,0.5080562221460401,1.0,0.8,0.0,1,288,,Unknown,0.1411896535624241,0.0466749071445191,0.0413673771528296,0.0413673771528296,0.0726409425736303,0.0028229364954274,0.0603177039367661,0.0625181131396761,0.4850944054245129,5485.3,2950.2,104,0.5346,1.0,0.6,0.0,0.07276416081367693
8930e1c9d17ffff,37.44734567647468,127.0974604651683,41131630,신촌동,수정구,0.0012456656074338,0.0292472417708526,0.0124462960728013,0.0,1.0,0.9845731916352416,1.0,0.8,0.0,0,9,,Unknown,0.0501447380707815,0.0270611245803531,0.0012456656074338,0.0012456656074338,0.0223692520896679,0.0380312117205992,0.0146957255774691,0.0280081437359929,0.5549368357718993,3265.3,2271.2,14,0.6429,1.0,0.6,0.0,0.0832405253657849
8930e0269c7ffff,37.38586390722426,127.08705890624717,41135650,판교동,분당구,0.1275882933326259,0.1865480898138088,0.151172211925099,0.0,0.9125,0.9091532396297566,1.0,0.8,0.0,1,54,,Unknown,0.0968344383229059,0.1809293821411808,0.1275882933326259,0.1275882933326259,0.1316974090318486,0.118694274580035,0.1817396976440795,0.1369119542381067,0.5025360596709565,10266.9,5048.5,26,0.5231,1.0,0.6,0.0,0.07538040895064348
8930e1c9833ffff,37.42691459909513,127.1009850493023,41131640,고등동,수정구,0.0919400957440941,0.1242854967661393,0.1048782561529121,0.0,0.7375,0.778882413438464,1.0,0.8,0.0,3,132,,Unknown,0.168923335512186,0.1176946116277231,0.0919400957440941,0.0919400957440941,0.1214736966454289,0.159100173110528,0.1561660655360294,0.1394027198049199,0.618207866048867,11997.1,7994.3,74,0.5541,0.5,0.6,0.0,0.09273117990733006
8930e026eabffff,37.373952881749545,127.05726840928388,41135680,운중동,분당구,0.2059581325868684,0.3036603248464614,0.2450390094907056,1.0,1.0,1.0,1.0,0.8,0.8,0,0,,Unknown,0.2067419927164067,0.2916803098533317,0.2059581325868684,0.2059581325868684,0.2276238349423457,0.2209674265773783,0.3438914895249789,0.2469903954113642,0.0,0.0,0.0,0,0.0,0.7,0.6,0.33599999999999997,0.28559999999999997
8930e1c934fffff,37.40110273285877,127.0569144913728,41135680,운중동,분당구,0.2059581325868684,0.3036603248464614,0.2450390094907056,0.0,1.0,1.0,1.0,0.8,0.0,0,0,,Unknown,0.2067419927164067,0.2916803098533317,0.2059581325868684,0.2059581325868684,0.2276238349423457,0.2209674265773783,0.3438914895249789,0.2469903954113642,0.5758837679818485,5278.2,3694.8,6,0.7,0.7,0.6,0.0,0.08638256519727727
8930e026c27ffff,37.39131880149085,127.066569243418,41135680,운중동,분당구,0.2059581325868684,0.3036603248464614,0.2450390094907056,0.0,0.9125,0.7257456290709632,1.0,0.8,0.0,1,161,,Unknown,0.2067419927164067,0.2916803098533317,0.2059581325868684,0.2059581325868684,0.2276238349423457,0.2209674265773783,0.3438914895249789,0.2469903954113642,0.4931433654443294,14869.9,5970.5,160,0.51,0.7,0.6,0.0,0.07397150481664941
8930e1c8e6bffff,37.45516491091274,127.1033617437234,41131630,신촌동,수정구,0.0012456656074338,0.0292472417708526,0.0124462960728013,0.0,1.0,0.7583133356187863,1.0,0.8,0.0,0,141,,Unknown,0.0501447380707815,0.0270611245803531,0.0012456656074338,0.0012456656074338,0.0223692520896679,0.0380312117205992,0.0146957255774691,0.0280081437359929,0.5236776834815406,7402.4,4253.4,76,0.5132,1.0,0.6,0.0,0.07855165252223109
