CSV_ADMI_CD,ADM_NM,GU_NM,Od,Fp,Cc,Tp,Ds,urgency,legacy_urgency,demand_b2b,demand_b2c,demand_cv,Ec,dong_nm,gu_nm,admi_cty_no,demand_score,demand_tier,demand_grade,demand_rank,demand_percentile,delivery_urgency,od_score,fp_score,cc_score,tp_score,Od_volume,Cc_volume,avg_monthly_del_cnt,delivery_cnt_per_km2,flow_pop_index,area_km2,delivery_demand_index
41135680,운중동,분당구,0.011732585289699737,0.8375340736275518,0.007408907915031424,0.8553980536354453,0.34365185828235756,0.34365185828235756,0.584286316426875,0.0036784442870881,0.011732585289699737,0.6171160979681423,0.0036784442870881,운중동,분당구,41135680,0.34365185828235756,MEDIUM,B,30,60.0,0.584286316426875,0.011732585289699737,0.8375340736275518,0.007408907915031424,0.8553980536354453,0.25769908480145476,0.19649007050251086,440653.8333333333,25077.651545035947,0.7826946264788317,17.571574935634654,0.43580383894434366
41135665,구미1동,분당구,0.13578248843264104,0.7309825560957123,0.08591696635447886,0.6007368125922509,0.34185927345280975,0.34185927345280975,0.5658715412534705,0.1835650040541521,0.13578248843264104,0.49514692937605675,0.1835650040541521,구미1동,분당구,41135665,0.34185927345280975,MEDIUM,B,29,57.99999999999999,0.5658715412534705,0.13578248843264104,0.7309825560957123,0.08591696635447886,0.6007368125922509,0.32941773857092327,0.33392487646154834,550131.3333333334,155221.90607157748,0.6973860753274006,3.5441604040067083,0.4688519830972249
41135662,금곡동,분당구,0.08891005603735207,0.8105480892439647,0.0458448617467097,0.6004387064139654,0.3352825633228366,0.3352825633228366,0.8674172044583928,0.0748960515231447,0.08891005603735207,0.6042192527838718,0.0748960515231447,금곡동,분당구,41135662,0.3352825633228366,MEDIUM,B,28,56.00000000000001,0.8674172044583928,0.08891005603735207,0.8105480892439647,0.0458448617467097,0.6004387064139654,0.3690844490655652,0.24343616505593058,610682.0,106046.71433522091,0.7610887846993277,5.7586131152502515,0.8165099788515986
41135670,구미동,분당구,0.20340902187048646,0.8226652114625687,0.11498694548889625,0.18040801941324155,0.3326673998045227,0.3326673998045227,0.8408681666861282,0.1484251853421199,0.20340902187048646,0.4509435867356975,0.1484251853421199,구미동,분당구,41135670,0.3326673998045227,MEDIUM,B,27,54.0,0.8408681666861282,0.20340902187048646,0.8226652114625687,0.11498694548889625,0.18040801941324155,0.5253918956605589,0.5075842756479702,849283.0833333334,226170.81096786828,0.7707901401050359,3.755051678414814,0.7756944353999815
41131540,태평1동,수정구,0.19502309138222979,0.6285420871564925,0.06005856093669984,0.5826479806958633,0.327805441111458,0.327805441111458,0.4072566236514669,0.0582858826087038,0.19502309138222979,0.31211266324049425,0.0582858826087038,태평1동,수정구,41131540,0.327805441111458,MEDIUM,B,26,52.0,0.4072566236514669,0.19502309138222979,0.6285420871564925,0.06005856093669984,0.5826479806958633,0.15999727478614637,0.06452853716002917,291513.4166666667,217372.89461119063,0.6153689611003168,1.3410752853435997,0.31832108020174643
41133590,상대원3동,중원구,0.45556018882033855,0.15882991542017086,0.17792226208991369,0.5577755547007782,0.32730044366975636,0.32730044366975636,0.3625825320974592,0.1076578068714953,0.45556018882033855,0.9442144323083792,0.1076578068714953,상대원3동,중원구,41133590,0.32730044366975636,MEDIUM,B,25,50.0,0.3625825320974592,0.45556018882033855,0.15882991542017086,0.17792226208991369,0.5577755547007782,0.06728497539978612,0.04011724886233107,149989.41666666666,490709.7168376494,0.23930238075298427,0.3056581345754978,0.5112347660521596
41131580,수진2동,수정구,0.3023242070878286,0.5700737564243199,0.11660921944417157,0.31283140954605215,0.3244089278797707,0.3244089278797707,0.4026503310802985,0.11969360606464,0.3023242070878286,0.2963337069311834,0.11969360606464,수진2동,수정구,41131580,0.3244089278797707,MEDIUM,C,24,48.0,0.4026503310802985,0.3023242070878286,0.5700737564243199,0.11660921944417157,0.31283140954605215,0.16872003360005272,0.09721363755274176,304828.5833333333,329945.52352554013,0.5685573464134225,0.9238754933728852,0.3435694053219628
41133525,중앙동,중원구,0.19138006114440964,0.5183487607853257,0.07371758829222314,0.5858938017085731,0.30288367892621654,0.30288367892621654,0.3026989834709604,0.0282923143281578,0.19138006114440964,0.005008327442177116,0.0282923143281578,중앙동,중원구,41133525,0.30288367892621654,MEDIUM,C,23,46.0,0.3026989834709604,0.19138006114440964,0.5183487607853257,0.07371758829222314,0.5858938017085731,0.06397246485848479,0.0369266061034726,144932.91666666666,213550.88876913502,0.5271446613715776,0.6786809340950593,0.24186522038506977
41135650,판교동,분당구,0.044483850950420734,0.7025860476182239,0.024109402725505377,0.6728000775155952,0.29816322204591883,0.29816322204591883,0.47169696616095774,0.027195350286769,0.044483850950420734,0.4812610578343346,0.027195350286769,판교동,분당구,41135650,0.29816322204591883,MEDIUM,C,22,44.0,0.47169696616095774,0.044483850950420734,0.7025860476182239,0.024109402725505377,0.6728000775155952,0.14708651956207597,0.129053390349233,271805.3333333333,59437.92870949089,0.6746509228669958,4.572927409059128,0.3621698430651707
41135570,정자3동,분당구,0.17739857150444868,0.6370084093753823,0.1357055145301874,0.2839446151357023,0.2978596732733048,0.2978596732733048,0.44030618698577434,0.0182596953809758,0.17739857150444868,0.4297149600391499,0.0182596953809758,정자3동,분당구,41135570,0.2978596732733048,MEDIUM,C,21,42.0,0.44030618698577434,0.17739857150444868,0.6370084093753823,0.1357055145301874,0.2839446151357023,0.2255263302634373,0.36015586292339713,391542.5833333333,198882.51337938107,0.6221473693182836,1.9687129686783518,0.35656020760643803
