kosha_moto_time_min,kosha_moto_dist_m,kosha_safe_rating,assigned_lot_id,target_h3_index,hub_lon,hub_lat,target_lon,target_lat,kosha_result_code,kosha_result_msg,kosha_success
13.6,1581.0,,206-2-000004,8830e1c9b3fffff,127.131784,37.411659,127.12078062231151,37.412982494417925,00,NORMAL_CODE,1.0
,,,206-2-000004,8830e1c9b7fffff,127.131784,37.411659,127.1175913531137,37.40624929396947,REQUEST_ERROR,HTTPError: 500 Server Error: Internal Server Error,0.0
12.683333333333334,988.0,,206-2-000005,8830e15303fffff,127.139984,37.376945,127.13642674169368,37.381008633285695,00,NORMAL_CODE,1.0
16.033333333333335,3318.0,,206-2-000005,8830e15307fffff,127.139984,37.376945,127.13323650303232,37.37427656639261,00,NORMAL_CODE,1.0
13.683333333333334,1989.0,,206-2-000005,8830e15315fffff,127.139984,37.376945,127.14432589482182,37.381429344442296,00,NORMAL_CODE,1.0
14.733333333333333,2819.0,,206-2-000005,8830e15317fffff,127.139984,37.376945,127.15222629686134,37.38184959190431,00,NORMAL_CODE,1.0
,,,206-2-000005,8830e1531dfffff,127.139984,37.376945,127.13961781505046,37.38774116689682,REQUEST_ERROR,HTTPError_500,0.0
14.766666666666667,2594.0,,206-2-000005,8830e1532bfffff,127.139984,37.376945,127.13004709875868,37.367544966419146,00,NORMAL_CODE,1.0
13.466666666666669,2008.0,,206-2-000005,8830e15331fffff,127.139984,37.376945,127.14584151273668,37.3683847271886,00,NORMAL_CODE,1.0
11.866666666666667,517.0,,206-2-000005,8830e15339fffff,127.139984,37.376945,127.14113437080906,37.37469697804602,00,NORMAL_CODE,1.0
,,,206-2-000005,8830e1533bfffff,127.139984,37.376945,127.14903348725196,37.37511692616778,REQUEST_ERROR,HTTPError_500,0.0
14.3,1962.0,,206-2-000005,8830e1533dfffff,127.139984,37.376945,127.13794368153718,37.36796507848828,00,NORMAL_CODE,1.0
,,,206-2-000022,8830e02683fffff,127.0779,37.390875,127.08116763963528,37.37805069205754,REQUEST_ERROR,HTTPError: 500 Server Error: Internal Server Error,0.0
,,,206-2-000022,8830e02689fffff,127.0779,37.390875,127.06857007823017,37.38393123801656,REQUEST_ERROR,HTTPError: 500 Server Error: Internal Server Error,0.0
14.483333333333333,1614.0,,206-2-000022,8830e0268bfffff,127.0779,37.390875,127.07645927448829,37.3843564124282,00,NORMAL_CODE,1.0
,,,206-2-000022,8830e02691fffff,127.0779,37.390875,127.0922414145638,37.38520537596634,REQUEST_ERROR,HTTPError: 500 Server Error: Internal Server Error,0.0
13.05,1352.0,,206-2-000022,8830e02699fffff,127.0779,37.390875,127.08753263276262,37.39151202534271,00,NORMAL_CODE,1.0
,,,206-2-000022,8830e0269dfffff,127.0779,37.390875,127.08434971993373,37.38478112515867,REQUEST_ERROR,HTTPError: 500 Server Error: Internal Server Error,0.0
14.166666666666666,2006.0,,206-2-000022,8830e026c3fffff,127.0779,37.390875,127.06386119245072,37.39023559993693,00,NORMAL_CODE,1.0
,,,206-2-000022,8830e026d1fffff,127.0779,37.390875,127.07493160014046,37.39739230253543,REQUEST_ERROR,HTTPError: 500 Server Error: Internal Server Error,0.0
,,,206-2-000022,8830e026d3fffff,127.0779,37.390875,127.0828233644451,37.39781807847479,REQUEST_ERROR,HTTPError: 500 Server Error: Internal Server Error,0.0
13.416666666666666,1087.0,,206-2-000022,8830e026d5fffff,127.0779,37.390875,127.07175042311968,37.39066153675447,00,NORMAL_CODE,1.0
11.483333333333333,223.0,,206-2-000022,8830e026d7fffff,127.0779,37.390875,127.07964090322452,37.39108701197028,00,NORMAL_CODE,1.0
,,,206-2-000022,8830e026dbfffff,127.0779,37.390875,127.07811360959948,37.4041235351584,REQUEST_ERROR,HTTPError: 500 Server Error: Internal Server Error,0.0
,,,206-2-000022,8830e026ddfffff,127.0779,37.390875,127.0670410855178,37.3969660648321,REQUEST_ERROR,HTTPError: 500 Server Error: Internal Server Error,0.0
13.583333333333334,2261.0,,206-2-000022,8830e1c9a5fffff,127.0779,37.390875,127.09071637842916,37.3982433924085,00,NORMAL_CODE,1.0
13.5,1817.0,,206-3-000001,8830e15301fffff,127.1189553112,37.382624,127.128528837481,37.38058745867648,00,NORMAL_CODE,1.0
,,,206-3-000001,8830e15305fffff,127.1189553112,37.382624,127.12533988392572,37.37385569144942,REQUEST_ERROR,HTTPError: 500 Server Error: Internal Server Error,0.0
