scenario_id,lot_id,lot_name,hub_lat,hub_lon,target_h3_index,target_ADM_NM,target_GU_NM,target_lat,target_lon,scenario_h3_score,drone_time_min,time_saving_min,co2_saving_g,airspace_approval_required,drone_direct_feasible_strict,route_constraint_score,hub_rank
S001,206-2-000009,금곡동,37.35086,127.10686,8930e024d73ffff,구미1동,분당구,37.34868,127.11012,0.3089,0.37704,24.62,1107.9,False,True,0.71045,2
S001,206-2-000009,금곡동,37.35086,127.10686,8930e024d83ffff,금곡동,분당구,37.35955,127.10318,0.3091,1.01767,23.98,1079.1,False,True,0.6912,2
S001,206-2-000009,금곡동,37.35086,127.10686,8930e024d9bffff,금곡동,분당구,37.35847,127.10047,0.3236,1.0162,23.98,1079.1,False,True,0.74421,2
S001,206-2-000009,금곡동,37.35086,127.10686,8930e024dc7ffff,금곡동,분당구,37.3539,127.10271,0.326,0.49933,24.5,1102.5,False,True,0.72068,2
S001,206-2-000009,금곡동,37.35086,127.10686,8930e024d33ffff,금곡동,분당구,37.35541,127.11331,0.2858,0.76152,24.24,1090.8,False,True,0.63187,2
S001,206-2-000009,금곡동,37.35086,127.10686,8930e024d53ffff,금곡동,분당구,37.34826,127.10223,0.3234,0.50181,24.5,1102.5,False,True,0.71797,2
S001,206-2-000009,금곡동,37.35086,127.10686,8930e024d0fffff,금곡동,분당구,37.3515,127.11036,0.2451,0.31773,24.68,1110.6,False,True,0.6272,2
S001,206-2-000009,금곡동,37.35086,127.10686,8930e024d3bffff,금곡동,분당구,37.35258,127.11307,0.2614,0.58189,24.42,1098.9,False,True,0.62085,2
S001,206-2-000009,금곡동,37.35086,127.10686,8930e024d23ffff,금곡동,분당구,37.35366,127.11578,0.2906,0.84867,24.15,1086.8,False,True,0.64233,2
S001,206-2-000009,금곡동,37.35086,127.10686,8930e024da3ffff,정자3동,분당구,37.35997,127.11107,0.2372,1.07736,23.92,1076.4,False,True,0.66631,2
S001,206-2-000009,금곡동,37.35086,127.10686,8930e024d8fffff,정자1동,분당구,37.35781,127.10565,0.4661,0.77815,24.22,1089.9,False,True,0.63863,2
S001,206-2-000009,금곡동,37.35086,127.10686,8930e024d4fffff,구미1동,분당구,37.34477,127.10717,0.3141,0.67636,24.32,1094.4,False,True,0.70839,2
S001,206-2-000009,금곡동,37.35086,127.10686,8930e0248a7ffff,구미동,분당구,37.34129,127.11212,0.2593,1.15998,23.84,1072.8,False,True,0.77887,2
S001,206-2-000009,금곡동,37.35086,127.10686,8930e024d6fffff,구미동,분당구,37.34519,127.11506,0.2604,0.96113,24.04,1081.8,False,True,0.70827,2
S001,206-2-000009,금곡동,37.35086,127.10686,8930e024993ffff,구미1동,분당구,37.3491,127.11801,0.286,1.00685,23.99,1079.5,False,True,0.67391,2
