dashboard_rank,display_name,name,type,lat,lon,dong,gu,zone,score,near_hub,color
61,공원,nan,공원,37.347488,127.114563,구미1동,분당구,Hybrid,0.641,True,#AB47BC
62,벌말공원,벌말공원,공원,37.348108,127.115295,구미1동,분당구,Hybrid,0.641,True,#AB47BC
63,공원,nan,공원,37.348249,127.113822,구미1동,분당구,Hybrid,0.641,True,#AB47BC
64,공원,nan,공원,37.348186,127.115138,구미1동,분당구,Hybrid,0.641,True,#AB47BC
65,공원,nan,공원,37.347948,127.115444,구미1동,분당구,Hybrid,0.641,True,#AB47BC
66,하얀마을6단지 상가,하얀마을6단지 상가,대형마트,37.345717,127.113657,구미동,분당구,Hybrid,0.64,True,#FFA726
67,상가동,상가동,대형마트,37.345264,127.113616,구미동,분당구,Hybrid,0.64,True,#FFA726
68,까치마을어린이공원,까치마을어린이공원,공원,37.351175,127.118162,구미1동,분당구,Hybrid,0.639,True,#AB47BC
69,이우학교,이우학교,학교,37.352448,127.090732,구미1동,분당구,Hybrid,0.638,True,#EF5350
70,선경아파트 놀이터,선경아파트 놀이터,공원,37.346045,127.112261,구미1동,분당구,Hybrid,0.637,True,#AB47BC
71,까치마을 근린공원,까치마을 근린공원,공원,37.347655,127.113375,구미1동,분당구,Hybrid,0.637,True,#AB47BC
72,공원,nan,공원,37.346647,127.112152,구미1동,분당구,Hybrid,0.637,True,#AB47BC
73,하얀마을 놀이터,하얀마을 놀이터,공원,37.345618,127.112398,구미1동,분당구,Hybrid,0.637,True,#AB47BC
74,공원,nan,공원,37.347297,127.112211,구미1동,분당구,Hybrid,0.637,True,#AB47BC
75,공원,nan,공원,37.346524,127.114212,구미1동,분당구,Hybrid,0.637,True,#AB47BC
76,공원,nan,공원,37.347509,127.112612,구미1동,분당구,Hybrid,0.637,True,#AB47BC
77,공원,nan,공원,37.347451,127.11381,구미1동,분당구,Hybrid,0.637,True,#AB47BC
78,선경아파트 놀이터,선경아파트 놀이터,공원,37.348202,127.112263,구미1동,분당구,Hybrid,0.637,True,#AB47BC
79,공원,nan,공원,37.347428,127.113108,구미1동,분당구,Hybrid,0.637,True,#AB47BC
80,공원,nan,공원,37.348164,127.112304,구미1동,분당구,Hybrid,0.637,True,#AB47BC
81,머내과학공원,머내과학공원,공원,37.346615,127.106011,구미1동,분당구,Hybrid,0.634,True,#AB47BC
82,앞구미어린이공원,앞구미어린이공원,공원,37.35355,127.113406,금곡동,분당구,Hybrid,0.627,True,#AB47BC
83,공영주차장,nan,공영주차장,37.383581,127.118712,수내1동,분당구,로봇전용,0.626,True,#42A5F5
84,공영주차장,nan,공영주차장,37.385728,127.119036,수내1동,분당구,로봇전용,0.626,True,#42A5F5
85,공영주차장,nan,공영주차장,37.467315,127.153275,위례동,수정구,로봇전용,0.626,True,#42A5F5
86,위례 더제이 주차빌딩,위례 더제이 주차빌딩,공영주차장,37.472688,127.149745,위례동,수정구,로봇전용,0.624,True,#42A5F5
87,공영주차장,nan,공영주차장,37.466934,127.143294,위례동,수정구,로봇전용,0.623,True,#42A5F5
88,공원,nan,공원,37.344239,127.11907,구미동,분당구,Hybrid,0.623,True,#AB47BC
89,공영주차장,nan,공영주차장,37.460281,127.146655,위례동,수정구,로봇전용,0.622,True,#42A5F5
90,공영주차장,nan,공영주차장,37.469338,127.147806,위례동,수정구,로봇전용,0.621,True,#42A5F5
91,공영주차장,nan,공영주차장,37.46349,127.142313,위례동,수정구,로봇전용,0.621,True,#42A5F5
92,봇들7단지 생활지원센터,봇들7단지 생활지원센터,주민센터,37.397261,127.116551,삼평동,분당구,로봇전용,0.621,True,#66BB6A
93,탄천 무지개공원,탄천 무지개공원,공원,37.339728,127.114258,구미동,분당구,Hybrid,0.618,True,#AB47BC
94,건영 3단지 공원,건영 3단지 공원,공원,37.33969,127.115345,구미동,분당구,Hybrid,0.618,True,#AB47BC
95,공원,nan,공원,37.338924,127.113657,구미동,분당구,Hybrid,0.618,True,#AB47BC
96,3단지 테니스장 공터,3단지 테니스장 공터,공원,37.339131,127.113986,구미동,분당구,Hybrid,0.618,True,#AB47BC
97,3단지 관리사무소 앞 공원,3단지 관리사무소 앞 공원,공원,37.339366,127.114379,구미동,분당구,Hybrid,0.618,True,#AB47BC
98,공원,nan,공원,37.343652,127.118157,구미동,분당구,Hybrid,0.617,True,#AB47BC
99,공원,nan,공원,37.34433,127.116586,구미동,분당구,Hybrid,0.617,True,#AB47BC
100,놀이터,놀이터,공원,37.342769,127.117308,구미동,분당구,Hybrid,0.617,True,#AB47BC
101,공원,nan,공원,37.344173,127.118532,구미동,분당구,Hybrid,0.617,True,#AB47BC
102,삼평동 행정복지센터,삼평동 행정복지센터,주민센터,37.406066,127.11635,삼평동,분당구,로봇전용,0.615,True,#66BB6A
103,공영주차장,nan,공영주차장,37.411853,127.125031,야탑1동,분당구,로봇전용,0.614,True,#42A5F5
104,공영주차장,nan,공영주차장,37.412566,127.124492,야탑1동,분당구,로봇전용,0.614,True,#42A5F5
105,공영주차장,nan,공영주차장,37.410981,127.125581,야탑1동,분당구,로봇전용,0.614,True,#42A5F5
106,공원,nan,공원,37.354209,127.111072,금곡동,분당구,Hybrid,0.612,True,#AB47BC
107,공영주차장,nan,공영주차장,37.350451,127.10673,금곡동,분당구,로봇전용,0.611,True,#42A5F5
108,공영주차장,공영주차장,공영주차장,37.350788,127.106844,금곡동,분당구,로봇전용,0.611,True,#42A5F5
109,공영주차장,nan,공영주차장,37.410625,127.119243,야탑1동,분당구,로봇전용,0.611,True,#42A5F5
110,구미공원,구미공원,공원,37.340841,127.122019,구미동,분당구,Hybrid,0.61,True,#AB47BC
111,공원,nan,공원,37.340222,127.123635,구미동,분당구,Hybrid,0.61,True,#AB47BC
112,정자1동행정복지센터,정자1동행정복지센터,주민센터,37.364526,127.105678,정자1동,분당구,로봇전용,0.609,True,#66BB6A
113,오리공원,오리공원,공원,37.340775,127.112504,구미동,분당구,Hybrid,0.608,True,#AB47BC
114,하얀어린이공원,하얀어린이공원,공원,37.344926,127.117978,구미동,분당구,Hybrid,0.604,True,#AB47BC
115,공원,nan,공원,37.344687,127.110916,구미동,분당구,Hybrid,0.604,True,#AB47BC
116,공원,nan,공원,37.342871,127.112428,구미동,분당구,Hybrid,0.604,True,#AB47BC
117,공원,nan,공원,37.345084,127.11225,구미동,분당구,Hybrid,0.604,True,#AB47BC
118,미금초등학교,미금초등학교,학교,37.347052,127.115298,구미1동,분당구,Hybrid,0.601,True,#EF5350
119,주공아파트 놀이터,주공아파트 놀이터,공원,37.34559,127.114542,구미동,분당구,Hybrid,0.6,True,#AB47BC
120,오리어린이공원,오리어린이공원,공원,37.344455,127.114138,구미동,분당구,Hybrid,0.6,True,#AB47BC
121,공원,nan,공원,37.346571,127.114591,구미동,분당구,Hybrid,0.6,True,#AB47BC
122,공원,nan,공원,37.346312,127.114143,구미동,분당구,Hybrid,0.6,True,#AB47BC
123,공원,nan,공원,37.341447,127.126241,구미동,분당구,Hybrid,0.599,True,#AB47BC
124,넘말 어린이공원,넘말 어린이공원,공원,37.340481,127.124768,구미동,분당구,Hybrid,0.599,True,#AB47BC
125,공원,nan,공원,37.342212,127.124661,구미동,분당구,Hybrid,0.599,True,#AB47BC
126,공원,nan,공원,37.341558,127.126404,구미동,분당구,Hybrid,0.599,True,#AB47BC
127,큰골어린이공원,큰골어린이공원,공원,37.340197,127.126044,구미동,분당구,Hybrid,0.599,True,#AB47BC
128,공원,nan,공원,37.341755,127.124919,구미동,분당구,Hybrid,0.599,True,#AB47BC
129,덕봉어린이공원,덕봉어린이공원,공원,37.342219,127.12584,구미동,분당구,Hybrid,0.599,True,#AB47BC
130,공영주차장,nan,공영주차장,37.363243,127.100935,금곡동,분당구,로봇전용,0.59,True,#42A5F5
131,공영주차장,nan,공영주차장,37.39275,127.111541,백현동,분당구,로봇전용,0.589,True,#42A5F5
132,판교공영주차장,판교공영주차장,공영주차장,37.393359,127.110712,백현동,분당구,로봇전용,0.589,True,#42A5F5
133,청솔초등학교,청솔초등학교,학교,37.354043,127.114162,금곡동,분당구,Hybrid,0.588,True,#EF5350
134,공영주차장,nan,공영주차장,37.386531,127.10345,백현동,분당구,로봇전용,0.588,True,#42A5F5
135,공영주차장,nan,공영주차장,37.389799,127.10863,백현동,분당구,로봇전용,0.587,True,#42A5F5
136,롯데슈퍼,롯데슈퍼,대형마트,37.37811,127.132233,서현1동,분당구,로봇전용,0.587,True,#FFA726
137,다이소(지하1층),다이소(지하1층),대형마트,37.383906,127.121589,서현1동,분당구,로봇전용,0.587,True,#FFA726
138,공영주차장,nan,공영주차장,37.396848,127.111439,백현동,분당구,로봇전용,0.586,True,#42A5F5
139,현대슈퍼,현대슈퍼,대형마트,37.377896,127.129408,서현1동,분당구,로봇전용,0.585,True,#FFA726
140,공영주차장,nan,공영주차장,37.392216,127.104771,백현동,분당구,로봇전용,0.584,True,#42A5F5
141,공영주차장,nan,공영주차장,37.391695,127.104407,백현동,분당구,로봇전용,0.584,True,#42A5F5
142,형제슈퍼,형제슈퍼,대형마트,37.379828,127.13352,서현1동,분당구,로봇전용,0.583,True,#FFA726
143,위례평생학습관,위례평생학습관,주민센터,37.468293,127.149517,위례동,수정구,로봇전용,0.583,True,#66BB6A
144,AK플라자 분당,AK플라자 분당,대형마트,37.385093,127.123102,서현1동,분당구,로봇전용,0.583,True,#FFA726
145,롯데마트 서현점,롯데마트 서현점,대형마트,37.385932,127.120593,서현1동,분당구,로봇전용,0.582,True,#FFA726
146,학교,nan,학교,37.347961,127.119223,구미1동,분당구,Hybrid,0.581,True,#EF5350
147,수내1동 행정복지센터,수내1동 행정복지센터,주민센터,37.375624,127.117889,수내1동,분당구,로봇전용,0.581,True,#66BB6A
148,학교,nan,학교,37.347046,127.119198,구미1동,분당구,Hybrid,0.581,True,#EF5350
149,롯데마트 판교점 (Lottemart),롯데마트 판교점 (Lottemart),대형마트,37.395486,127.113339,삼평동,분당구,로봇전용,0.576,True,#FFA726
150,구미중학교,구미중학교,학교,37.345975,127.123647,구미동,분당구,Hybrid,0.576,True,#EF5350
151,청호마트,청호마트,대형마트,37.403693,127.116391,삼평동,분당구,로봇전용,0.575,True,#FFA726
152,공영주차장,nan,공영주차장,37.400479,127.129029,야탑3동,분당구,로봇전용,0.575,True,#42A5F5
