scenario_key,layer_key,demand_key,hub_rank,facility_index,facility_id,hub_name,facility,capacity,idle_score,lat,lon,new_hotspot_cells,cumulative_hotspot_cells,cumulative_coverage_pct,layer_label,demand_label
A0O0N0R0W1__B1C0D0,A0O0N0R0W1,B1C0D0,9,76,204-2-000011,복정 제4공영,주차장,196,1.0,37.454669,127.129084,10,100,7.04,기상,기업수요지수
A0O0N0R0W1__B1C0D0,A0O0N0R0W1,B1C0D0,10,99,204-2-000036,고등동공영주차장,주차장,45,1.0,37.428262,127.103875,10,110,7.74,기상,기업수요지수
A0O0N0R0W1__B1C0D1,A0O0N0R0W1,B1C0D1,1,39,205-1-000040,중상41,주차장,17,0.9709680031323588,37.431318,127.169267,13,13,0.86,기상,기업수요지수 + 상권활력지수
A0O0N0R0W1__B1C0D1,A0O0N0R0W1,B1C0D1,2,169,206-3-000006,판교어린이도서관,주차장,70,1.0,37.387525,127.107668,12,25,1.65,기상,기업수요지수 + 상권활력지수
A0O0N0R0W1__B1C0D1,A0O0N0R0W1,B1C0D1,3,167,206-3-000004,분당도서관 부설주차장,주차장,186,1.0,37.358104,127.11658,12,37,2.44,기상,기업수요지수 + 상권활력지수
A0O0N0R0W1__B1C0D1,A0O0N0R0W1,B1C0D1,4,161,205-3-000001,성남시청 부설주차장,주차장,1184,1.0,37.420178,127.12628,12,49,3.24,기상,기업수요지수 + 상권활력지수
A0O0N0R0W1__B1C0D1,A0O0N0R0W1,B1C0D1,5,166,206-3-000003,서현도서관 부설주차장,주차장,180,1.0,37.383542,127.13244,11,60,3.96,기상,기업수요지수 + 상권활력지수
A0O0N0R0W1__B1C0D1,A0O0N0R0W1,B1C0D1,6,170,206-3-000007,구미도서관,주차장,71,1.0,37.345532,127.107689,11,71,4.69,기상,기업수요지수 + 상권활력지수
A0O0N0R0W1__B1C0D1,A0O0N0R0W1,B1C0D1,7,145,206-2-000007,정자역환승,주차장,208,1.0,37.365753,127.107329,11,82,5.42,기상,기업수요지수 + 상권활력지수
A0O0N0R0W1__B1C0D1,A0O0N0R0W1,B1C0D1,8,158,206-2-000022,운중동공영주차장,주차장,235,1.0,37.390875,127.0779,11,93,6.14,기상,기업수요지수 + 상권활력지수
A0O0N0R0W1__B1C0D1,A0O0N0R0W1,B1C0D1,9,75,204-2-000010,복정 제3공영,주차장,284,1.0,37.461738,127.127224,11,104,6.87,기상,기업수요지수 + 상권활력지수
A0O0N0R0W1__B1C0D1,A0O0N0R0W1,B1C0D1,10,168,206-3-000005,판교도서관,주차장,95,1.0,37.391898,127.090871,11,115,7.6,기상,기업수요지수 + 상권활력지수
A0O0N0R0W1__B1C1D0,A0O0N0R0W1,B1C1D0,1,39,205-1-000040,중상41,주차장,17,0.9709680031323588,37.431318,127.169267,13,13,0.9,기상,기업수요지수 + 소비력지수
A0O0N0R0W1__B1C1D0,A0O0N0R0W1,B1C1D0,2,169,206-3-000006,판교어린이도서관,주차장,70,1.0,37.387525,127.107668,12,25,1.73,기상,기업수요지수 + 소비력지수
A0O0N0R0W1__B1C1D0,A0O0N0R0W1,B1C1D0,3,167,206-3-000004,분당도서관 부설주차장,주차장,186,1.0,37.358104,127.11658,12,37,2.56,기상,기업수요지수 + 소비력지수
A0O0N0R0W1__B1C1D0,A0O0N0R0W1,B1C1D0,4,166,206-3-000003,서현도서관 부설주차장,주차장,180,1.0,37.383542,127.13244,11,48,3.31,기상,기업수요지수 + 소비력지수
A0O0N0R0W1__B1C1D0,A0O0N0R0W1,B1C1D0,5,168,206-3-000005,판교도서관,주차장,95,1.0,37.391898,127.090871,11,59,4.07,기상,기업수요지수 + 소비력지수
A0O0N0R0W1__B1C1D0,A0O0N0R0W1,B1C1D0,6,145,206-2-000007,정자역환승,주차장,208,1.0,37.365753,127.107329,11,70,4.83,기상,기업수요지수 + 소비력지수
A0O0N0R0W1__B1C1D0,A0O0N0R0W1,B1C1D0,7,158,206-2-000022,운중동공영주차장,주차장,235,1.0,37.390875,127.0779,11,81,5.59,기상,기업수요지수 + 소비력지수
A0O0N0R0W1__B1C1D0,A0O0N0R0W1,B1C1D0,8,170,206-3-000007,구미도서관,주차장,71,1.0,37.345532,127.107689,11,92,6.35,기상,기업수요지수 + 소비력지수
A0O0N0R0W1__B1C1D0,A0O0N0R0W1,B1C1D0,9,164,206-3-000001,분당구청 부설주차장,주차장,541,1.0,37.382624,127.1189553112,10,102,7.04,기상,기업수요지수 + 소비력지수
A0O0N0R0W1__B1C1D0,A0O0N0R0W1,B1C1D0,10,99,204-2-000036,고등동공영주차장,주차장,45,1.0,37.428262,127.103875,10,112,7.73,기상,기업수요지수 + 소비력지수
A0O0N0R0W1__B1C1D1,A0O0N0R0W1,B1C1D1,1,39,205-1-000040,중상41,주차장,17,0.9709680031323588,37.431318,127.169267,13,13,0.93,기상,기업수요지수 + 소비력지수 + 상권활력지수
A0O0N0R0W1__B1C1D1,A0O0N0R0W1,B1C1D1,2,169,206-3-000006,판교어린이도서관,주차장,70,1.0,37.387525,127.107668,12,25,1.78,기상,기업수요지수 + 소비력지수 + 상권활력지수
A0O0N0R0W1__B1C1D1,A0O0N0R0W1,B1C1D1,3,167,206-3-000004,분당도서관 부설주차장,주차장,186,1.0,37.358104,127.11658,12,37,2.64,기상,기업수요지수 + 소비력지수 + 상권활력지수
A0O0N0R0W1__B1C1D1,A0O0N0R0W1,B1C1D1,4,166,206-3-000003,서현도서관 부설주차장,주차장,180,1.0,37.383542,127.13244,11,48,3.43,기상,기업수요지수 + 소비력지수 + 상권활력지수
A0O0N0R0W1__B1C1D1,A0O0N0R0W1,B1C1D1,5,145,206-2-000007,정자역환승,주차장,208,1.0,37.365753,127.107329,11,59,4.21,기상,기업수요지수 + 소비력지수 + 상권활력지수
A0O0N0R0W1__B1C1D1,A0O0N0R0W1,B1C1D1,6,170,206-3-000007,구미도서관,주차장,71,1.0,37.345532,127.107689,11,70,5.0,기상,기업수요지수 + 소비력지수 + 상권활력지수
A0O0N0R0W1__B1C1D1,A0O0N0R0W1,B1C1D1,7,158,206-2-000022,운중동공영주차장,주차장,235,1.0,37.390875,127.0779,11,81,5.78,기상,기업수요지수 + 소비력지수 + 상권활력지수
A0O0N0R0W1__B1C1D1,A0O0N0R0W1,B1C1D1,8,168,206-3-000005,판교도서관,주차장,95,1.0,37.391898,127.090871,11,92,6.57,기상,기업수요지수 + 소비력지수 + 상권활력지수
A0O0N0R0W1__B1C1D1,A0O0N0R0W1,B1C1D1,9,164,206-3-000001,분당구청 부설주차장,주차장,541,1.0,37.382624,127.1189553112,10,102,7.28,기상,기업수요지수 + 소비력지수 + 상권활력지수
A0O0N0R0W1__B1C1D1,A0O0N0R0W1,B1C1D1,10,99,204-2-000036,고등동공영주차장,주차장,45,1.0,37.428262,127.103875,10,112,7.99,기상,기업수요지수 + 소비력지수 + 상권활력지수
A0O0N0R1W0__B0C0D0,A0O0N0R1W0,B0C0D0,1,46,205-1-000047,중상50,주차장,18,0.9782254477531648,37.428469,127.143157,13,13,0.73,로봇 접근성(Ra),선택 없음
A0O0N0R1W0__B0C0D0,A0O0N0R1W0,B0C0D0,2,18,205-1-000019,중상89,주차장,13,0.9611372325876234,37.445631,127.162621,12,25,1.41,로봇 접근성(Ra),선택 없음
A0O0N0R1W0__B0C0D0,A0O0N0R1W0,B0C0D0,3,39,205-1-000040,중상41,주차장,17,0.9709680031323588,37.431318,127.169267,12,37,2.09,로봇 접근성(Ra),선택 없음
A0O0N0R1W0__B0C0D0,A0O0N0R1W0,B0C0D0,4,42,205-1-000043,중상79하,주차장,74,0.9350523594182064,37.444641,127.176881,12,49,2.77,로봇 접근성(Ra),선택 없음
A0O0N0R1W0__B0C0D0,A0O0N0R1W0,B0C0D0,5,54,205-1-000055,중상70-4-5,주차장,10,1.0,37.458714,127.165251,12,61,3.45,로봇 접근성(Ra),선택 없음
A0O0N0R1W0__B0C0D0,A0O0N0R1W0,B0C0D0,6,63,205-1-000064,모란2,주차장,24,0.9513031344662622,37.429731,127.125431,12,73,4.12,로봇 접근성(Ra),선택 없음
A0O0N0R1W0__B0C0D0,A0O0N0R1W0,B0C0D0,7,71,204-2-000006,산성동 제1,주차장,109,1.0,37.451632,127.152324,12,85,4.8,로봇 접근성(Ra),선택 없음
A0O0N0R1W0__B0C0D0,A0O0N0R1W0,B0C0D0,8,84,204-2-000020,태평동 제1,주차장,119,1.0,37.44718,127.129216,12,97,5.48,로봇 접근성(Ra),선택 없음
