id,name,type,subtype,address,capacity,facility,avg_monthly_entries,idle_score,lat,lon
204-2-000024,태평4동,공영,노외,경기도 성남시 수정구 태평로 109,89,주차장,,1.0,37.451234,127.13858
204-2-000025,건우,공영,노외,,153,주차장,,1.0,37.450645,127.132699
204-2-000026,태평동 탄천변,공영,노외,경기도 성남시 수정구 탄천로 558,109,주차장,,1.0,37.443631,127.119431
204-2-000027,수진 제1,공영,노외,경기도 성남시 수정구 제일로 114,119,주차장,,1.0,37.436849,127.133917
204-2-000028,수진 제2,공영,노외,경기도 성남시 수정구 제일로 99,165,주차장,,1.0,37.435349,127.134086
204-2-000029,수진 제3,공영,노외,경기도 성남시 수정구 제일로 128,223,주차장,,1.0,37.438147,127.133322
204-2-000030,수진동 제4,공영,노외,경기도 성남시 수정구 모란로 46,101,주차장,,1.0,37.437253,127.126955
204-2-000031,번성,공영,노외,경기도 성남시 수정구 수정남로 14,180,주차장,,1.0,37.439153,127.129691
204-2-000033,복정 제6공영,공영,노외,경기도 성남시 수정구 복정로 118번길 7,120,주차장,,1.0,37.463756,127.127865
204-2-000034,신흥제9공영주차장,공영,노외,경기도 성남시 수정구 시민로 173,177,주차장,6649.083333333334,0.7344959886063775,37.443391,127.142358
204-2-000035,신흥2동제1공영주차장,공영,노외,경기도 성남시 수정구 희망로533번길 35,151,주차장,,1.0,37.448393,127.149023
204-2-000036,고등동공영주차장,공영,노외,,45,주차장,,1.0,37.428262,127.103875
204-2-000037,복정제1공영주차장,공영,노외,경기도 성남시 수정구 성남대로 1544,74,주차장,,1.0,37.467915,127.12713
204-2-000038,신촌동공영주차장,공영,노외,,74,주차장,,1.0,37.45906,127.10581
204-2-000039,신흥제10공영(기계식)주차장,공영,노외,경기도 성남시 수정구 산성대로283번길 7,74,주차장,,1.0,37.44197,127.14791
204-2-000040,양지제3공영주차장,공영,노외,경기도 성남시 수정구 논골로 40,96,주차장,,1.0,37.457605,127.159098
204-2-000041,태평공원공영주차장,공영,노외,,120,주차장,,1.0,37.44111,127.12103
204-2-000042,희망대제1공영주차장,공영,노외,,181,주차장,1031.3333333333333,0.9588179116794612,37.445534,127.147844
204-2-000043,희망대제2공영주차장,공영,노외,,159,주차장,1059.0833333333333,0.9577098286630795,37.450655,127.148052
