h3_index,lat,lon,CSV_ADMI_CD,ADM_NM,GU_NM,delivery_demand_index,flow_pop_index,urgency,score_airspace,score_obstacle,score_noise,score_terrain,score_weather,composite_score,terrain_zone,avg_slope,tall_bldg_count,total_bldg_count,urgency_level,composite_level
8930e1c937bffff,37.40218635623215,127.05962268492287,41131650,시흥동,수정구,0.12875713197584718,0.26836940611095705,0.18460204162989113,0.0,1.0,1.0,1.0,0.8,0.0,Unknown,,0,0,보통,부적합
8930e026c53ffff,37.38481941638612,127.0503233376503,41135680,운중동,분당구,0.2059581325868684,0.30366032484646144,0.24503900949070562,0.0,1.0,0.9828591018169351,1.0,0.8,0.0,Unknown,,0,10,높음,부적합
8930e1c9d43ffff,37.43778667359065,127.09403599467268,41131640,고등동,수정구,0.0919400957440941,0.12428549676613931,0.10487825615291219,0.0,1.0,0.9280082276311278,1.0,0.8,0.0,Unknown,,0,42,매우 낮음,부적합
8930e1522abffff,37.411850041846186,127.15215037847642,41133670,도촌동,중원구,0.12583608054537798,0.20066141141253263,0.15576621289223985,0.0,1.0,0.9742886527254028,1.0,0.8,0.0,Unknown,,0,15,낮음,부적합
8930e152c73ffff,37.43831578693333,127.19114721674539,41133570,상대원1동,중원구,0.14648822460350558,0.31782397855254707,0.21502252618312218,0.0,1.0,1.0,1.0,0.8,0.0,Unknown,,0,0,보통,부적합
8930e02490fffff,37.33929870803079,127.1276608601479,41135670,구미동,분당구,0.46252374948763986,0.3638099021031401,0.42303821053383994,1.0,1.0,0.8474460061707232,1.0,0.8,0.6779568049365786,Unknown,,0,89,매우 높음,높음
8930e153157ffff,37.38425467525338,127.14456518129636,41135580,서현1동,분당구,0.9968130393916227,0.6447023797590359,0.855968775538588,0.0,1.0,0.964004113815564,1.0,0.8,0.0,Unknown,,0,21,매우 높음,부적합
8930e15363bffff,37.372352277868146,127.114733502562,41135545,정자동,분당구,0.14360980846529803,0.2071475318499021,0.16902489781913965,0.0,0.9125,0.5016181229773462,1.0,0.8,0.0,Unknown,,1,309,보통,부적합
8930e15044bffff,37.38617692863037,127.1630823750941,41135580,서현1동,분당구,0.9968130393916227,0.6447023797590359,0.855968775538588,0.0,1.0,0.9862872814535482,1.0,0.8,0.0,Unknown,,0,8,매우 높음,부적합
8930e026b4bffff,37.35588413992196,127.08716393043503,41135665,구미1동,분당구,0.31513740047098093,0.22356132941446688,0.2785069720483753,1.0,1.0,0.9897154610901611,1.0,0.8,0.7917723688721289,Unknown,,0,6,높음,높음
8930e1c9273ffff,37.397423936351494,127.04090465689161,41135680,운중동,분당구,0.2059581325868684,0.30366032484646144,0.24503900949070562,0.0,1.0,0.9948577305450805,1.0,0.8,0.0,Unknown,,0,3,높음,부적합
8930e1c9c3bffff,37.43627433874785,127.08342637993776,41131640,고등동,수정구,0.0919400957440941,0.12428549676613931,0.10487825615291219,0.0,1.0,0.9331504970860472,1.0,0.8,0.0,Unknown,,0,39,매우 낮음,부적합
8930e1c9a33ffff,37.40714172222049,127.0993226293962,41131650,시흥동,수정구,0.12875713197584718,0.26836940611095705,0.18460204162989113,0.0,0.4750000000000001,0.9400068563592732,1.0,0.8,0.0,Unknown,,6,41,보통,부적합
8930e1521a3ffff,37.44204159624564,127.17308706535952,41133570,상대원1동,중원구,0.14648822460350558,0.31782397855254707,0.21502252618312218,0.0,0.30000000000000004,0.9365786767226603,1.0,0.8,0.0,Unknown,,9,46,보통,부적합
8930e026e27ffff,37.3715546968575,127.06491901849462,41135680,운중동,분당구,0.2059581325868684,0.30366032484646144,0.24503900949070562,0.0,1.0,0.9948577305450805,1.0,0.8,0.0,Unknown,,0,3,높음,부적합
8930e152687ffff,37.427533721505945,127.12987539254621,41133660,하대원동,중원구,0.08974836386497108,0.11487859124614751,0.09980045481744165,0.0,0.7375,0.9091532396297566,1.0,0.8,0.0,Unknown,,3,56,매우 낮음,부적합
8930e026943ffff,37.378474621841264,127.08905789091737,41135650,판교동,분당구,0.1275882933326259,0.1865480898138088,0.15117221192509905,0.0,1.0,0.9982859101816935,1.0,0.8,0.0,Unknown,,0,1,낮음,부적합
8930e15304fffff,37.37211278968654,127.12781270321497,41135510,분당동,분당구,0.035225135897809526,0.15126408462979404,0.08164071539060333,0.0,0.9125,0.828591018169352,1.0,0.8,0.0,Unknown,,1,101,매우 낮음,부적합
8930e1c8b87ffff,37.46709506847665,127.13322240703425,41131625,위례동,수정구,0.4430485790178199,0.4178320876323894,0.4329619824636477,0.0,0.825,0.9451491258141926,1.0,0.8,0.0,Unknown,,2,34,매우 높음,부적합
8930e153533ffff,37.40252832053012,127.13562630006209,41135600,이매1동,분당구,0.10326873693074859,0.22963004835958162,0.1538132615022818,0.0,0.9125,0.9914295509084676,1.0,0.8,0.0,Unknown,,1,6,낮음,부적합
8930e1cd207ffff,37.45617580414343,127.17429236788512,41133560,은행2동,중원구,0.1344689082617625,0.1276370413956344,0.13173616151531126,0.0,0.9125,0.9914295509084676,1.0,0.8,0.0,Unknown,,1,6,낮음,부적합
8930e1c916bffff,37.420212424756464,127.063745465303,41131640,고등동,수정구,0.0919400957440941,0.12428549676613931,0.10487825615291219,0.0,1.0,0.9948577305450805,1.0,0.8,0.0,Unknown,,0,3,매우 낮음,부적합
